klein/ADJ,swart-wit/ADJ,televisie/NOUN
gratis/ADJ,basiese/ADJ,sanitasie/NOUN
gratis/ADJ,basiese/ADJ,vullisverwyderingsdiens/NOUN
doeane-en-aksyns/ADJ,spesiale/ADJ,vervaardiger/NOUN
Voormalige/ADJ,politieke/ADJ,gevangenes/NOUN
voormalige/ADJ,politieke/ADJ,gevangenes/NOUN
ander/ADJ,politieke/ADJ,gevangenes/NOUN
wêreldwye/ADJ,ekonomiese/ADJ,krisis/NOUN
ander/ADJ,intellektuele/ADJ,goedereregte/NOUN
redelike/ADJ,kommersiële/ADJ,tegnologiestandaarde/NOUN
Internasionale/ADJ,Monitêre/ADJ,Fonds/NOUN
ander/ADJ,multilaterale/ADJ,instansies/NOUN
ander/ADJ,suidelike/ADJ,lande/NOUN
verskeie/ADJ,werfverwante/ADJ,take/NOUN
ander/ADJ,openbare/ADJ,entiteite/NOUN
basiese/ADJ,munisipale/ADJ,dienste/NOUN
betrokke/ADJ,sektorale/ADJ,departemente/NOUN
Gratis/ADJ,basiese/ADJ,water/NOUN
gratis/ADJ,basiese/ADJ,water/NOUN
gratis/ADJ,basiese/ADJ,elektrisiteit/NOUN
Uitgebreide/ADJ,Openbare/ADJ,Werke-program/NOUN
doeltreffende/ADJ,demokratiese/ADJ,stelsel/NOUN
volgehoue/ADJ,ekonomiese/ADJ,groei/NOUN
Bruto/ADJ,Binnelandse/ADJ,Produk/NOUN
wÃªreldwye/ADJ,ekonomiese/ADJ,storms/NOUN
groot/ADJ,negatiewe/ADJ,saldo/NOUN
netto/ADJ,nuwe/ADJ,werksgeleenthede/NOUN
sogenaamde/ADJ,rassistiese/ADJ,agenda/NOUN
Uitgebreide/ADJ,Openbare/ADJ,Werke-Program/NOUN
skoon/ADJ,lopende/ADJ,water/NOUN
verskeie/ADJ,maatskaplike/ADJ,vennote/NOUN
Uitgebreide/ADJ,Openbare/ADJ,Werke/NOUN
teensikliese/ADJ,fiskale/ADJ,beleid/NOUN
gedetailleerde/ADJ,daaglikse/ADJ,lesplanne/NOUN
ouditeerbare/ADJ,skriftelike/ADJ,verslag/NOUN
Nasionale/ADJ,Finansiële/ADJ,Hulpskema/NOUN
professionele/ADJ,mediese/ADJ,werkers/NOUN
onderskeie/ADJ,onnatuurlike/ADJ,oorsake/NOUN
voorlaaste/ADJ,Gesamentlike/ADJ,Sitting/NOUN
dreigende/ADJ,ekonomiese/ADJ,reses/NOUN
Gesamentlike/ADJ,Presidensiële/ADJ,Werkgroepe/NOUN
noodsaaklike/ADJ,energiedoeltreffende/ADJ,toekoms/NOUN
werklike/ADJ,daaglikse/ADJ,vooruitgang/NOUN
sterk/ADJ,Suid-Afrikaanse/ADJ,span/NOUN
voortdurende/ADJ,ekonomiese/ADJ,groei/NOUN
Nasionale/ADJ,Menslike/ADJ,Hulpbronontwikkelingstrategie/NOUN
volhoubare/ADJ,menslike/ADJ,huisvesting/NOUN
vasgestelde/ADJ,landelike/ADJ,ontwikkelingsprogram/NOUN
spesifieke/ADJ,individuele/ADJ,huishoudings/NOUN
ander/ADJ,spesifieke/ADJ,prioriteite/NOUN
Suid-Afrikaanse/ADJ,Nasionale/ADJ,Weermag/NOUN
volhoubare/ADJ,menslike/ADJ,nedersettings/NOUN
Nasionale/ADJ,Strategiese/ADJ,Plan/NOUN
uitgebreide/ADJ,maatskaplike/ADJ,sekuriteitstelsel/NOUN
ander/ADJ,maatskaplike/ADJ,vennote/NOUN
nodige/ADJ,grondwetlike/ADJ,wysigings/NOUN
oorblywende/ADJ,prosessuele/ADJ,aangeleentheid/NOUN
daaglikse/ADJ,nasionale/ADJ,uitdagings/NOUN
heersende/ADJ,regerende/ADJ,party/NOUN
Nasionale/ADJ,Uitvoerende/ADJ,Raad/NOUN
wêreldwye/ADJ,ekonomiese/ADJ,ineenstorting/NOUN
oorblywende/ADJ,amptelike/ADJ,tale/NOUN
Lewende/ADJ,Mariene/ADJ,Hulpbronne/NOUN
bevrore/ADJ,heel/ADJ,krap/NOUN
nodige/ADJ,ondersteunende/ADJ,dokumente/NOUN
eksklusiewe/ADJ,ekonomiese/ADJ,sone/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
verskeie/ADJ,sosiale/ADJ,kontekste/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
uiteenlopende/ADJ,kontekstuele/ADJ,faktore/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
nasionale/ADJ,Suid-Afrikaanse/ADJ,identiteit/NOUN
addisionele/ADJ,amptelike/ADJ,taal/NOUN
ander/ADJ,belangrike/ADJ,geletterdheidsvorme/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
spesifieke/ADJ,sterk/ADJ,punte/NOUN
ander/ADJ,belanghebbende/ADJ,persoon/NOUN
volledige/ADJ,voorgestelde/ADJ,proefprotokol/NOUN
ander/ADJ,belanghebbende/ADJ,persoon/NOUN
ander/ADJ,geakkrediteerde/ADJ,laboratorium/NOUN
Oranje/ADJ,Internasionale/ADJ,Sertifikaat/NOUN
betrokke/ADJ,buitelandse/ADJ,outoriteit/NOUN
betrokke/ADJ,provinsiale/ADJ,kantoor/NOUN
ernstige/ADJ,liggaamlike/ADJ,leed/NOUN
Suid-Afrikaanse/ADJ,Nasionale/ADJ,Verdedigingsmag/NOUN
geregistreerde/ADJ,voorlopige/ADJ,belastingbetalers/NOUN
beraamde/ADJ,belasbare/ADJ,inkomste/NOUN
eerste/ADJ,voorlopige/ADJ,belastingbetaling/NOUN
nodige/ADJ,ondersteunende/ADJ,dokumente/NOUN
ondertekende/ADJ,geskrewe/ADJ,onderneming/NOUN
beraamde/ADJ,belasbare/ADJ,inkomste/NOUN
betrokke/ADJ,opvoedkundige/ADJ,owerheid/NOUN
gestorwe/ADJ,swart/ADJ,persoon/NOUN
toepaslike/ADJ,Professionele/ADJ,Adviesraad/NOUN
hoogaangeskrewe/ADJ,nasionale/ADJ,ordes/NOUN
bruto/ADJ,binnelandse/ADJ,produk/NOUN
basiese/ADJ,volwasse/ADJ,onderrig/NOUN
plaaslike/ADJ,ekonomiese/ADJ,ontwikkeling/NOUN
spesiale/ADJ,lae/ADJ,tarief/NOUN
