последни/ADJ,социологически/ADJ,проучвания/NOUN
ново/ADJ,федерално/ADJ,правителство/NOUN
Бивш/ADJ,германски/ADJ,канцлер/NOUN
различни/ADJ,финансови/ADJ,институции/NOUN
Варненският/ADJ,транспортен/ADJ,полк/NOUN
днешния/ADJ,религиозен/ADJ,плурализъм/NOUN
далечната/ADJ,1965/ADJ,г./NOUN
завидно/ADJ,жизнено/ADJ,равнище/NOUN
конкретни/ADJ,вътрешнополитически/ADJ,цели/NOUN
Втората/ADJ,българска/ADJ,легия/NOUN
национален/ADJ,строителен/ADJ,контрол/NOUN
последната/ADJ,Национална/ADJ,конференция/NOUN
румънският/ADJ,първи/ADJ,дипломат/NOUN
съществена/ADJ,финансова/ADJ,помощ/NOUN
Столичният/ADJ,общински/ADJ,съвет/NOUN
южния/ADJ,британски/ADJ,бряг/NOUN
опозиционния/ADJ,десен/ADJ,блок/NOUN
международната/ADJ,полицейска/ADJ,организация/NOUN
преобладаващо/ADJ,албанско/ADJ,население/NOUN
Глобалната/ADJ,стратегическа/ADJ,среда/NOUN
променената/ADJ,стратегическа/ADJ,обстановка/NOUN
европейските/ADJ,въоръжени/ADJ,сили/NOUN
великолепна/ADJ,черна/ADJ,ваза/NOUN
приетия/ADJ,погасителен/ADJ,план/NOUN
други/ADJ,парламентарни/ADJ,групи/NOUN
другите/ADJ,международни/ADJ,организации/NOUN
кадрова/ADJ,военна/ADJ,служба/NOUN
зелените/ADJ,иронични/ADJ,очи/NOUN
автономни/ADJ,териториални/ADJ,образувания/NOUN
основно/ADJ,национално/ADJ,богатство/NOUN
Великото/ADJ,Народно/ADJ,събрание/NOUN
Великото/ADJ,Народно/ADJ,събрание/NOUN
общата/ADJ,европейска/ADJ,валута/NOUN
Втората/ADJ,световна/ADJ,война/NOUN
голямо/ADJ,фарисейско/ADJ,бръщолевене/NOUN
лошо/ADJ,психично/ADJ,здраве/NOUN
добри/ADJ,ролеви/ADJ,модели/NOUN
руските/ADJ,военни/ADJ,летци/NOUN
американски/ADJ,бойни/ADJ,кораби/NOUN
Втория/ADJ,национален/ADJ,конкурс/NOUN
популярната/ADJ,руска/ADJ,писателка/NOUN
Алжирската/ADJ,футболна/ADJ,федерация/NOUN
британският/ADJ,компютърен/ADJ,специалист/NOUN
Европейската/ADJ,инвестиционна/ADJ,банка/NOUN
столичния/ADJ,козметичен/ADJ,завод/NOUN
сполучлива/ADJ,американска/ADJ,комедия/NOUN
Столичната/ADJ,здравноосигурителна/ADJ,каса/NOUN
фалшиви/ADJ,здравни/ADJ,книжки/NOUN
чудна/ADJ,лятна/ADJ,нощ/NOUN
крупни/ADJ,финансови/ADJ,злоупотреби/NOUN
първата/ADJ,US/ADJ,дама/NOUN
големи/ADJ,приватизационни/ADJ,сделки/NOUN
Столичния/ADJ,общински/ADJ,съвет/NOUN
днешния/ADJ,втори/ADJ,мач/NOUN
Златната/ADJ,волейболна/ADJ,лига/NOUN
хроничен/ADJ,финансов/ADJ,дефицит/NOUN
Втората/ADJ,световна/ADJ,война/NOUN
кривите/ADJ,селски/ADJ,улици/NOUN
най-големия/ADJ,ценови/ADJ,бум/NOUN
земни/ADJ,противопехотни/ADJ,мини/NOUN
макроикономическа/ADJ,гледна/ADJ,точка/NOUN
цял/ADJ,умиращ/ADJ,сектор/NOUN
Малка/ADJ,самоделна/ADJ,бомба/NOUN
нови/ADJ,военни/ADJ,групировки/NOUN
други/ADJ,големи/ADJ,градове/NOUN
небрежен/ADJ,външен/ADJ,вид/NOUN
дългите/ADJ,елегантни/ADJ,вагони/NOUN
големи/ADJ,икономически/ADJ,способности/NOUN
актуалните/ADJ,български/ADJ,политици/NOUN
българския/ADJ,етнически/ADJ,модел/NOUN
най-големите/ADJ,български/ADJ,революционери/NOUN
европейските/ADJ,политически/ADJ,стандарти/NOUN
специален/ADJ,управителен/ADJ,съвет/NOUN
обикновено/ADJ,спортно/ADJ,състезание/NOUN
зимните/ADJ,любовни/ADJ,стихотворения/NOUN
колективните/ADJ,трудови/ADJ,спорове/NOUN
цялата/ADJ,техническа/ADJ,документация/NOUN
Европейската/ADJ,народна/ADJ,партия/NOUN
мощно/ADJ,предизборно/ADJ,измерение/NOUN
действителен/ADJ,турски/ADJ,произход/NOUN
прекрасни/ADJ,нови/ADJ,хора/NOUN
Конкретни/ADJ,антикорупционни/ADJ,резултати/NOUN
втори/ADJ,премиерски/ADJ,мандат/NOUN
Националния/ADJ,филмов/ADJ,център/NOUN
поредният/ADJ,предизборен/ADJ,ход/NOUN
смесена/ADJ,работна/ADJ,група/NOUN
руски/ADJ,природен/ADJ,газ/NOUN
Единственият/ADJ,възможен/ADJ,изход/NOUN
цялата/ADJ,правна/ADJ,система/NOUN
Архангелската/ADJ,издателска/ADJ,къща/NOUN
руска/ADJ,ядрена/ADJ,подводницата/NOUN
Европейската/ADJ,народна/ADJ,партия/NOUN
бивша/ADJ,сръбска/ADJ,провинция/NOUN
бившият/ADJ,германски/ADJ,канцлер/NOUN
единна/ADJ,информационна/ADJ,система/NOUN
тромава/ADJ,съдебна/ADJ,система/NOUN
държавната/ADJ,външна/ADJ,политика/NOUN
Българската/ADJ,търговско-промишлена/ADJ,палата/NOUN
южния/ADJ,холандски/ADJ,град/NOUN
Израелският/ADJ,външен/ADJ,министър/NOUN
недостатъчните/ADJ,научни/ADJ,познания/NOUN
отделната/ADJ,засегната/ADJ,държава/NOUN
Съвременният/ADJ,международен/ADJ,тероризъм/NOUN
основни/ADJ,търговски/ADJ,партньори/NOUN
Българския/ADJ,футболен/ADJ,съюз/NOUN
функционираща/ADJ,пазарна/ADJ,икономика/NOUN
по-нататъшно/ADJ,ускорено/ADJ,легализиране/NOUN
Нощна/ADJ,пролетна/ADJ,гръмотевица/NOUN
малкото/ADJ,дамско/ADJ,часовниче/NOUN
Българският/ADJ,червен/ADJ,кръст/NOUN
дамската/ADJ,военна/ADJ,униформа/NOUN
големи/ADJ,инвестиционни/ADJ,инициативи/NOUN
новата/ADJ,военна/ADJ,служба/NOUN
Велико/ADJ,Народно/ADJ,събрание/NOUN
изправен/ADJ,златен/ADJ,лъв/NOUN
общата/ADJ,европейска/ADJ,валута/NOUN
екстравертиран/ADJ,личностен/ADJ,стил/NOUN
добро/ADJ,психично/ADJ,здраве/NOUN
дългата/ADJ,зимна/ADJ,почивка/NOUN
съветски/ADJ,разузнавателен/ADJ,самолет/NOUN
новата/ADJ,компютърна/ADJ,програма/NOUN
Влажен/ADJ,есенен/ADJ,вятър/NOUN
сините/ADJ,далечни/ADJ,планини/NOUN
колективния/ADJ,трудов/ADJ,договор/NOUN
цялата/ADJ,българска/ADJ,общественост/NOUN
единните/ADJ,държавни/ADJ,изисквания/NOUN
Върховния/ADJ,административен/ADJ,съд/NOUN
Трудово-експертна/ADJ,лекарска/ADJ,комисия/NOUN
фалиралото/ADJ,козметично/ADJ,предприятие/NOUN
Британските/ADJ,тайни/ADJ,служби/NOUN
нови/ADJ,вносни/ADJ,коли/NOUN
най-дългата/ADJ,космическа/ADJ,конструкция/NOUN
тазгодишната/ADJ,житна/ADJ,реколта/NOUN
Бившият/ADJ,текстилен/ADJ,фабрикант/NOUN
българското/ADJ,висше/ADJ,образование/NOUN
горните/ADJ,дихателни/ADJ,пътища/NOUN
откъснати/ADJ,ляв/ADJ,крак/NOUN
широкия/ADJ,селски/ADJ,площад/NOUN
бодро/ADJ,вечерно/ADJ,хоро/NOUN
дебелите/ADJ,ястребови/ADJ,вежди/NOUN
провежданата/ADJ,икономическа/ADJ,политика/NOUN
последната/ADJ,пророческа/ADJ,книга/NOUN
предстоящи/ADJ,катастрофални/ADJ,събития/NOUN
най-мощните/ADJ,възпиращи/ADJ,средства/NOUN
направена/ADJ,рентгенова/ADJ,снимка/NOUN
целия/ADJ,3-годишен/ADJ,мандат/NOUN
Балканския/ADJ,политически/ADJ,клуб/NOUN
Благоевградския/ADJ,избирателен/ADJ,район/NOUN
Районната/ADJ,избирателна/ADJ,комисия/NOUN
определена/ADJ,етническа/ADJ,група/NOUN
цялата/ADJ,бюджетна/ADJ,сфера/NOUN
нормална/ADJ,европейска/ADJ,държава/NOUN
цялата/ADJ,подробна/ADJ,информация/NOUN
сложна/ADJ,обемна/ADJ,рама/NOUN
неясна/ADJ,икономическа/ADJ,политика/NOUN
интересните/ADJ,миналогодишни/ADJ,експерименти/NOUN
световния/ADJ,клубен/ADJ,шампион/NOUN
втори/ADJ,пореден/ADJ,кръг/NOUN
най-тежкото/ADJ,автомобилно/ADJ,изпитание/NOUN
баската/ADJ,терористична/ADJ,организация/NOUN
последния/ADJ,гигантски/ADJ,слалом/NOUN
45-часовата/ADJ,състезателна/ADJ,програма/NOUN
продавания/ADJ,държавен/ADJ,дял/NOUN
старите/ADJ,хубави/ADJ,книги/NOUN
старите/ADJ,хубави/ADJ,книги/NOUN
разкошна/ADJ,лъскава/ADJ,коса/NOUN
бившата/ADJ,Държавна/ADJ,сигурност/NOUN
Бившите/ADJ,социалистически/ADJ,държави/NOUN
фантастична/ADJ,зърнена/ADJ,криза/NOUN
фантастична/ADJ,зърнена/ADJ,криза/NOUN
Националният/ADJ,осигурителен/ADJ,институт/NOUN
българското/ADJ,Народно/ADJ,събрание/NOUN
най-лошият/ADJ,възможен/ADJ,сценарий/NOUN
интензивни/ADJ,политически/ADJ,консултации/NOUN
убедителна/ADJ,стратегическа/ADJ,политика/NOUN
най-добрата/ADJ,външнополитическа/ADJ,гаранция/NOUN
наборна/ADJ,военна/ADJ,служба/NOUN
армейска/ADJ,футболна/ADJ,група/NOUN
различни/ADJ,съвместни/ADJ,програми/NOUN
основния/ADJ,кадрови/ADJ,контингент/NOUN
общински/ADJ,кредитен/ADJ,пазар/NOUN
организационна/ADJ,гледна/ADJ,точка/NOUN
различните/ADJ,държавни/ADJ,институции/NOUN
подробна/ADJ,нормативна/ADJ,регламентация/NOUN
Бързи/ADJ,законодателни/ADJ,промени/NOUN
Великата/ADJ,китайска/ADJ,стена/NOUN
сериозен/ADJ,допълнителен/ADJ,стимул/NOUN
неблагоприятно/ADJ,данъчно/ADJ,законодателство/NOUN
изградени/ADJ,позитивни/ADJ,нагласи/NOUN
последният/ADJ,авторитарен/ADJ,режим/NOUN
неописуема/ADJ,човешка/ADJ,трагедия/NOUN
българската/ADJ,дипломатическа/ADJ,мисия/NOUN
първите/ADJ,неприятелски/ADJ,аванпостове/NOUN
вчерашното/ADJ,вечерно/ADJ,заседание/NOUN
най-евтиния/ADJ,атински/ADJ,учител/NOUN
възможния/ADJ,най-прост/ADJ,начин/NOUN
огромни/ADJ,икономически/ADJ,интереси/NOUN
бъдещи/ADJ,съвместни/ADJ,действия/NOUN
общата/ADJ,европейска/ADJ,политика/NOUN
втората/ADJ,важна/ADJ,тема/NOUN
Висшите/ADJ,военни/ADJ,училища/NOUN
нова/ADJ,организационна/ADJ,култура/NOUN
целият/ADJ,научен/ADJ,съвет/NOUN
единствената/ADJ,световна/ADJ,суперсила/NOUN
тежките/ADJ,непопулярни/ADJ,мерки/NOUN
първите/ADJ,демократични/ADJ,избори/NOUN
ведомствения/ADJ,жилищен/ADJ,фонд/NOUN
истинския/ADJ,пролетен/ADJ,ден/NOUN
месечната/ADJ,работна/ADJ,заплата/NOUN
предстоящата/ADJ,учебна/ADJ,година/NOUN
двустранното/ADJ,военно/ADJ,сътрудничество/NOUN
подобни/ADJ,малки/ADJ,заговори/NOUN
първоначалния/ADJ,медицински/ADJ,преглед/NOUN
Настоящата/ADJ,биографична/ADJ,информация/NOUN
единна/ADJ,информационна/ADJ,система/NOUN
брутния/ADJ,вътрешен/ADJ,продукт/NOUN
чуждестранни/ADJ,военни/ADJ,специалисти/NOUN
единен/ADJ,учебен/ADJ,план/NOUN
Националната/ADJ,военна/ADJ,стратегия/NOUN
различни/ADJ,военноморски/ADJ,части/NOUN
останалите/ADJ,военни/ADJ,училища/NOUN
Друг/ADJ,успешен/ADJ,елемент/NOUN
цялостната/ADJ,военна/ADJ,политика/NOUN
българската/ADJ,отбранителна/ADJ,промишленост/NOUN
самостоятелни/ADJ,нравствени/ADJ,оценки/NOUN
тежко/ADJ,семейно/ADJ,положение/NOUN
друго/ADJ,спално/ADJ,помещение/NOUN
учебен/ADJ,команден/ADJ,пункт/NOUN
младите/ADJ,офицерски/ADJ,кадри/NOUN
цялата/ADJ,медицинска/ADJ,служба/NOUN
официалната/ADJ,образователна/ADJ,система/NOUN
демократично/ADJ,гражданско/ADJ,общество/NOUN
българското/ADJ,Народно/ADJ,събрание/NOUN
другото/ADJ,съществено/ADJ,различие/NOUN
Първата/ADJ,световна/ADJ,война/NOUN
Втората/ADJ,световна/ADJ,война/NOUN
негативния/ADJ,визов/ADJ,списък/NOUN
младите/ADJ,български/ADJ,специалисти/NOUN
по-голямото/ADJ,платежоспособно/ADJ,търсене/NOUN
приемлив/ADJ,кредитен/ADJ,рейтинг/NOUN
югославската/ADJ,военна/ADJ,машина/NOUN
Крайбрежните/ADJ,черноморски/ADJ,течения/NOUN
определената/ADJ,социална/ADJ,политика/NOUN
българското/ADJ,селско/ADJ,стопанство/NOUN
Друга/ADJ,специфична/ADJ,област/NOUN
далечен/ADJ,кучешки/ADJ,лай/NOUN
Ниското/ADJ,социално/ADJ,стъпало/NOUN
добрите/ADJ,бъдещи/ADJ,замисли/NOUN
универсални/ADJ,пощенски/ADJ,услуги/NOUN
живи/ADJ,водни/ADJ,жаби/NOUN
съвременната/ADJ,военна/ADJ,политика/NOUN
Основните/ADJ,транспортни/ADJ,продукти/NOUN
Реалната/ADJ,военностратегическа/ADJ,среда/NOUN
тежка/ADJ,материална/ADJ,нужда/NOUN
наборна/ADJ,военна/ADJ,служба/NOUN
минималната/ADJ,работна/ADJ,заплата/NOUN
бъдеща/ADJ,национална/ADJ,гвардия/NOUN
бивши/ADJ,кадрови/ADJ,офицери/NOUN
огромните/ADJ,икономически/ADJ,проблеми/NOUN
българските/ADJ,въоръжени/ADJ,сили/NOUN
по-горните/ADJ,медицински/ADJ,инстанции/NOUN
крупен/ADJ,военен/ADJ,конфликт/NOUN
сегашната/ADJ,организационна/ADJ,структура/NOUN
смесения/ADJ,парламентарен/ADJ,комитет/NOUN
прекрасен/ADJ,гергьовденски/ADJ,бал/NOUN
треперлива/ADJ,слънчева/ADJ,мараня/NOUN
Малката/ADJ,газена/ADJ,лампа/NOUN
пряка/ADJ,военна/ADJ,заплаха/NOUN
източноевропейската/ADJ,преносна/ADJ,мрежа/NOUN
Източната/ADJ,православна/ADJ,църква/NOUN
основните/ADJ,външнополитически/ADJ,приоритети/NOUN
стратегическото/ADJ,военно/ADJ,партньорство/NOUN
най-голямата/ADJ,парламентарна/ADJ,група/NOUN
евентуални/ADJ,бъдещи/ADJ,удари/NOUN
съответната/ADJ,законодателна/ADJ,реакция/NOUN
останалите/ADJ,европейски/ADJ,норми/NOUN
днешната/ADJ,военна/ADJ,служба/NOUN
висшия/ADJ,команден/ADJ,състав/NOUN
целеви/ADJ,научни/ADJ,изследвания/NOUN
редовната/ADJ,декемврийска/ADJ,заплата/NOUN
очакваните/ADJ,чуждестранни/ADJ,инвестиции/NOUN
целия/ADJ,Европейски/ADJ,съюз/NOUN
колективното/ADJ,показно/ADJ,връщане/NOUN
специалното/ADJ,олимпийско/ADJ,облекло/NOUN
сериозно/ADJ,политическо/ADJ,решение/NOUN
адекватен/ADJ,отбранителен/ADJ,потенциал/NOUN
други/ADJ,съпътстващи/ADJ,екстри/NOUN
друга/ADJ,бойна/ADJ,техника/NOUN
Единственият/ADJ,незначителен/ADJ,инцидент/NOUN
Български/ADJ,национален/ADJ,интерес/NOUN
важни/ADJ,държавни/ADJ,интереси/NOUN
настъпилото/ADJ,тягостно/ADJ,мълчание/NOUN
хубав/ADJ,пролетен/ADJ,дъжд/NOUN
далечни/ADJ,топовни/ADJ,гърмежи/NOUN
общия/ADJ,сив/ADJ,фон/NOUN
Гражданския/ADJ,процесуален/ADJ,кодекс/NOUN
Патентоспособни/ADJ,полезни/ADJ,модели/NOUN
Цялата/ADJ,държавна/ADJ,власт/NOUN
изключителна/ADJ,държавна/ADJ,собственост/NOUN
крайбрежната/ADJ,плажна/ADJ,ивица/NOUN
изключителната/ADJ,икономическа/ADJ,зона/NOUN
свободната/ADJ,стопанска/ADJ,инициатива/NOUN
чуждестранните/ADJ,юридически/ADJ,лица/NOUN
чуждестранните/ADJ,юридически/ADJ,лица/NOUN
други/ADJ,вещни/ADJ,права/NOUN
справедлив/ADJ,международен/ADJ,ред/NOUN
доброволно/ADJ,писмено/ADJ,съгласие/NOUN
друга/ADJ,държавна/ADJ,служба/NOUN
присъстващ/ADJ,народен/ADJ,представител/NOUN
присъстващите/ADJ,народни/ADJ,представители/NOUN
новоизбраното/ADJ,Народно/ADJ,събрание/NOUN
нов/ADJ,Министерски/ADJ,съвет/NOUN
присъстващите/ADJ,народни/ADJ,представители/NOUN
Велико/ADJ,Народно/ADJ,събрание/NOUN
Велико/ADJ,Народно/ADJ,събрание/NOUN
Великото/ADJ,Народно/ADJ,събрание/NOUN
Великото/ADJ,Народно/ADJ,събрание/NOUN
Великото/ADJ,Народно/ADJ,събрание/NOUN
Великото/ADJ,Народно/ADJ,събрание/NOUN
бъдещият/ADJ,разширен/ADJ,съюз/NOUN
по-комфортна/ADJ,институционална/ADJ,рамка/NOUN
следващата/ADJ,Междуправителствена/ADJ,конференция/NOUN
напиращите/ADJ,балтийски/ADJ,републики/NOUN
най-голямата/ADJ,източноевропейска/ADJ,страна/NOUN
Първият/ADJ,европейски/ADJ,съюз/NOUN
Ханзейската/ADJ,търговска/ADJ,уния/NOUN
възможни/ADJ,странични/ADJ,ефекти/NOUN
прост/ADJ,син/ADJ,плик/NOUN
първия/ADJ,учебен/ADJ,ден/NOUN
безпомощна/ADJ,гимназиална/ADJ,глупачка/NOUN
многобройните/ADJ,възможни/ADJ,отговори/NOUN
запитаните/ADJ,гимназиални/ADJ,ученици/NOUN
най-различни/ADJ,идеологически/ADJ,поводи/NOUN
съвременното/ADJ,политическо/ADJ,общество/NOUN
пасивни/ADJ,странични/ADJ,наблюдатели/NOUN
посттравматичното/ADJ,стресово/ADJ,разстройство/NOUN
реалистични/ADJ,първични/ADJ,оценки/NOUN
по-силен/ADJ,физически/ADJ,стрес/NOUN
невротичен/ADJ,личностен/ADJ,стил/NOUN
адаптивен/ADJ,личностен/ADJ,стил/NOUN
добро/ADJ,психично/ADJ,здраве/NOUN
добри/ADJ,междуличностни/ADJ,отношения/NOUN
открит/ADJ,личностен/ADJ,стил/NOUN
приятен/ADJ,личностен/ADJ,стил/NOUN
добро/ADJ,психично/ADJ,здраве/NOUN
добри/ADJ,междуличностни/ADJ,отношения/NOUN
съвестен/ADJ,личностен/ADJ,стил/NOUN
предизвикателните/ADJ,житейски/ADJ,събития/NOUN
личната/ADJ,обратна/ADJ,връзка/NOUN
положителната/ADJ,обратна/ADJ,връзка/NOUN
първични/ADJ,себеразрушителни/ADJ,поведения/NOUN
най-голямото/ADJ,международно/ADJ,признание/NOUN
най-голямото/ADJ,международно/ADJ,признание/NOUN
фалиралата/ADJ,Добруджанска/ADJ,банка/NOUN
надутите/ADJ,компенсаторни/ADJ,записи/NOUN
водещи/ADJ,чужди/ADJ,фирми/NOUN
водещи/ADJ,чужди/ADJ,компании/NOUN
новия/ADJ,сръбски/ADJ,министър/NOUN
българско/ADJ,социално/ADJ,министерство/NOUN
пета/ADJ,търговска/ADJ,фирма/NOUN
седмо/ADJ,промишлено/ADJ,предприятие/NOUN
негативния/ADJ,визов/ADJ,списък/NOUN
бившия/ADJ,сръбски/ADJ,министър/NOUN
сръбската/ADJ,тайна/ADJ,полиция/NOUN
бившия/ADJ,генерален/ADJ,секретар/NOUN
българските/ADJ,филмови/ADJ,дейци/NOUN
трикратното/ADJ,дневно/ADJ,приемане/NOUN
жилавите/ADJ,бронхиални/ADJ,секрети/NOUN
специалните/ADJ,разузнавателни/ADJ,средства/NOUN
Висшият/ADJ,съдебен/ADJ,съвет/NOUN
Американския/ADJ,петролен/ADJ,институт/NOUN
предстоящата/ADJ,предизборна/ADJ,кампания/NOUN
бившата/ADJ,Държавна/ADJ,сигурност/NOUN
бившия/ADJ,вътрешен/ADJ,министър/NOUN
кривите/ADJ,селски/ADJ,улички/NOUN
мощното/ADJ,космическо/ADJ,въздействие/NOUN
опитен/ADJ,духовен/ADJ,учител/NOUN
трикратното/ADJ,дневно/ADJ,приемане/NOUN
жилавите/ADJ,бронхиални/ADJ,секрети/NOUN
различни/ADJ,шофьорски/ADJ,книжки/NOUN
фалшиви/ADJ,шофьорски/ADJ,книжки/NOUN
Българската/ADJ,хранителна/ADJ,промишленост/NOUN
други/ADJ,индустриални/ADJ,сектори/NOUN
отстъпващите/ADJ,немски/ADJ,вериги/NOUN
среден/ADJ,икономически/ADJ,ръст/NOUN
стабилен/ADJ,икономически/ADJ,растеж/NOUN
Първа/ADJ,АГ/ADJ,болница/NOUN
задната/ADJ,лява/ADJ,част/NOUN
трета/ADJ,поредна/ADJ,година/NOUN
сериозните/ADJ,финансови/ADJ,затруднения/NOUN
излишни/ADJ,социални/ADJ,емоции/NOUN
излишни/ADJ,социални/ADJ,емоции/NOUN
отделните/ADJ,европейски/ADJ,страни/NOUN
колективните/ADJ,трудови/ADJ,договори/NOUN
колективни/ADJ,трудови/ADJ,договори/NOUN
едномесечната/ADJ,дървена/ADJ,ваканция/NOUN
баската/ADJ,сепаратистка/ADJ,организация/NOUN
Австрийският/ADJ,държавен/ADJ,глава/NOUN
стари/ADJ,български/ADJ,икони/NOUN
бившият/ADJ,национален/ADJ,селекционер/NOUN
бившите/ADJ,съветски/ADJ,републики/NOUN
негативния/ADJ,визов/ADJ,списък/NOUN
негативния/ADJ,визов/ADJ,списък/NOUN
предсрочни/ADJ,местни/ADJ,избори/NOUN
US/ADJ,държавния/ADJ,секретар/NOUN
чужда/ADJ,финансова/ADJ,помощ/NOUN
младежкият/ADJ,национален/ADJ,тим/NOUN
непродадени/ADJ,държавни/ADJ,фирми/NOUN
Новият/ADJ,Надзорен/ADJ,съвет/NOUN
единен/ADJ,регионален/ADJ,данък/NOUN
масови/ADJ,спортни/ADJ,прояви/NOUN
държавното/ADJ,обществено/ADJ,осигуряване/NOUN
Средната/ADJ,месечна/ADJ,пенсия/NOUN
минимално/ADJ,технологично/ADJ,равнище/NOUN
първата/ADJ,частна/ADJ,фирма/NOUN
