последни/ADJ,социологически/ADJ,проучвания/NOUN
трети/ADJ,земеделски/ADJ,конгрес/NOUN
Военен/ADJ,духов/ADJ,оркестър/NOUN
Българските/ADJ,тайни/ADJ,служби/NOUN
Българските/ADJ,тайни/ADJ,служби/NOUN
Софийски/ADJ,градски/ADJ,съд/NOUN
лявата/ADJ,опозиционна/ADJ,Партия/NOUN
последния/ADJ,работен/ADJ,ден/NOUN
новото/ADJ,вечерно/ADJ,токшоу/NOUN
първия/ADJ,рожден/ADJ,ден/NOUN
Избрана/ADJ,световна/ADJ,фантастика/NOUN
измислени/ADJ,червени/ADJ,картона/NOUN
Новата/ADJ,масирана/ADJ,офанзива/NOUN
доказан/ADJ,международен/ADJ,авторитет/NOUN
висши/ADJ,държавни/ADJ,чиновници/NOUN
бившия/ADJ,вътрешен/ADJ,министър/NOUN
паралелната/ADJ,сива/ADJ,власт/NOUN
новият/ADJ,американски/ADJ,президент/NOUN
други/ADJ,палестински/ADJ,селища/NOUN
нелегални/ADJ,боксови/ADJ,мачове/NOUN
смахнатият/ADJ,ирландски/ADJ,циганин/NOUN
легендарния/ADJ,руски/ADJ,командир/NOUN
контрабандни/ADJ,златни/ADJ,накити/NOUN
специалните/ADJ,разузнавателни/ADJ,средства/NOUN
Световната/ADJ,здравна/ADJ,организация/NOUN
бившата/ADJ,Държавна/ADJ,сигурност/NOUN
редовната/ADJ,месечна/ADJ,среща/NOUN
Предишните/ADJ,приватизационни/ADJ,процедури/NOUN
непроходимите/ADJ,заледени/ADJ,пътища/NOUN
британското/ADJ,вътрешно/ADJ,министерство/NOUN
британски/ADJ,разузнавателни/ADJ,служби/NOUN
1/16/ADJ,финалния/ADJ,минимач/NOUN
държавните/ADJ,електронни/ADJ,медии/NOUN
Сегашната/ADJ,програмна/ADJ,директорка/NOUN
големият/ADJ,коледен/ADJ,подарък/NOUN
късна/ADJ,ноемврийска/ADJ,вечер/NOUN
Нестандартната/ADJ,сватбена/ADJ,церемония/NOUN
двудневния/ADJ,интелектуален/ADJ,маратон/NOUN
Националната/ADJ,художествена/ADJ,академия/NOUN
корпоративното/ADJ,подоходно/ADJ,облагане/NOUN
калпавите/ADJ,електрически/ADJ,инсталации/NOUN
знаменитият/ADJ,български/ADJ,енергетик/NOUN
повторно/ADJ,ръчно/ADJ,преброяване/NOUN
Федералният/ADJ,Върховен/ADJ,съд/NOUN
някогашния/ADJ,съветски/ADJ,химн/NOUN
еврейска/ADJ,детска/ADJ,градина/NOUN
Върховната/ADJ,административна/ADJ,прокуратура/NOUN
неизвестни/ADJ,въоръжени/ADJ,лица/NOUN
досегашните/ADJ,холивудски/ADJ,версии/NOUN
световната/ADJ,футболна/ADJ,централа/NOUN
драстичен/ADJ,воден/ADJ,режим/NOUN
нови/ADJ,лични/ADJ,карти/NOUN
новите/ADJ,лични/ADJ,карти/NOUN
смесеното/ADJ,българо-турско/ADJ,дружество/NOUN
врачанския/ADJ,торов/ADJ,завод/NOUN
брюкселско/ADJ,цветно/ADJ,зеле/NOUN
следващото/ADJ,общо/ADJ,събрание/NOUN
новата/ADJ,ядрена/ADJ,мощност/NOUN
новите/ADJ,работни/ADJ,места/NOUN
Столичният/ADJ,общински/ADJ,съвет/NOUN
готови/ADJ,жилищни/ADJ,имоти/NOUN
общински/ADJ,нежилищен/ADJ,имот/NOUN
средна/ADJ,телесна/ADJ,повреда/NOUN
бивши/ADJ,банкови/ADJ,служители/NOUN
втората/ADJ,атомна/ADJ,централа/NOUN
трети/ADJ,президентски/ADJ,мандат/NOUN
слабата/ADJ,избирателна/ADJ,активност/NOUN
големи/ADJ,скулпторни/ADJ,композиции/NOUN
всеизвестната/ADJ,скулптурна/ADJ,композиция/NOUN
повредена/ADJ,домакинска/ADJ,техника/NOUN
неосигурена/ADJ,безопасна/ADJ,среда/NOUN
другите/ADJ,медицински/ADJ,стоки/NOUN
висши/ADJ,учебни/ADJ,заведения/NOUN
широка/ADJ,обществена/ADJ,роля/NOUN
солидно/ADJ,материално/ADJ,положение/NOUN
Националната/ADJ,художествена/ADJ,галерия/NOUN
текуща/ADJ,световна/ADJ,периодика/NOUN
най-прогресиращ/ADJ,национален/ADJ,отбор/NOUN
втора/ADJ,православна/ADJ,църква/NOUN
диетичният/ADJ,руски/ADJ,хляб/NOUN
Български/ADJ,търговски/ADJ,дом/NOUN
световните/ADJ,валутни/ADJ,пазари/NOUN
намалените/ADJ,посевни/ADJ,площи/NOUN
влиятелният/ADJ,американски/ADJ,вестник/NOUN
общата/ADJ,входна/ADJ,врата/NOUN
цялото/ADJ,партерно/ADJ,помещение/NOUN
Висшия/ADJ,съдебен/ADJ,съвет/NOUN
Кърджалийският/ADJ,окръжен/ADJ,съд/NOUN
дълга/ADJ,коледна/ADJ,ваканция/NOUN
Главна/ADJ,данъчна/ADJ,дирекция/NOUN
Нова/ADJ,митническа/ADJ,тарифа/NOUN
Целият/ADJ,китайски/ADJ,народ/NOUN
изминалата/ADJ,2000/ADJ,година/NOUN
студената/ADJ,декемврийска/ADJ,нощ/NOUN
бившия/ADJ,административен/ADJ,директор/NOUN
Силният/ADJ,обществен/ADJ,шок/NOUN
бившия/ADJ,областен/ADJ,управител/NOUN
Европейската/ADJ,инвестиционна/ADJ,банка/NOUN
по-дребните/ADJ,профсъюзни/ADJ,лидери/NOUN
дребен/ADJ,гръцки/ADJ,работодател/NOUN
шумни/ADJ,езически/ADJ,ритуали/NOUN
скромна/ADJ,обществена/ADJ,длъжност/NOUN
провежданата/ADJ,икономическа/ADJ,политика/NOUN
собствена/ADJ,икономическа/ADJ,политика/NOUN
израелския/ADJ,курортен/ADJ,град/NOUN
безбройните/ADJ,медийни/ADJ,панорами/NOUN
най-крехко/ADJ,правно/ADJ,управление/NOUN
евтините/ADJ,холивудски/ADJ,бози/NOUN
допустимо/ADJ,словесно/ADJ,откровение/NOUN
половинчасов/ADJ,документален/ADJ,филм/NOUN
Малък/ADJ,градски/ADJ,театър/NOUN
първият/ADJ,куклен/ADJ,фестивал/NOUN
най-зрелищната/ADJ,българска/ADJ,постановка/NOUN
предпочитаният/ADJ,новогодишен/ADJ,гост/NOUN
Първият/ADJ,леден/ADJ,хотел/NOUN
ужасяваща/ADJ,самолетна/ADJ,катастрофа/NOUN
Спряната/ADJ,фериботна/ADJ,връзка/NOUN
новия/ADJ,политически/ADJ,съюз/NOUN
новия/ADJ,столичен/ADJ,всекидневник/NOUN
падащи/ADJ,летателни/ADJ,тела/NOUN
Водещият/ADJ,лондонски/ADJ,в./NOUN
широка/ADJ,обществена/ADJ,дискусия/NOUN
гъста/ADJ,виолетова/ADJ,сянка/NOUN
регионалните/ADJ,занаятчийски/ADJ,камари/NOUN
сключен/ADJ,трудов/ADJ,договор/NOUN
изконния/ADJ,неразрешим/ADJ,спор/NOUN
Националната/ADJ,занаятчийска/ADJ,камара/NOUN
българското/ADJ,национално/ADJ,съзнание/NOUN
Българския/ADJ,демократичен/ADJ,форум/NOUN
Българските/ADJ,национални/ADJ,легиони/NOUN
съветското/ADJ,комунистическо/ADJ,господство/NOUN
Социалистическият/ADJ,младежки/ADJ,съюз/NOUN
Дежурният/ADJ,районен/ADJ,прокурор/NOUN
Образуваното/ADJ,следствено/ADJ,дело/NOUN
богато/ADJ,криминално/ADJ,минало/NOUN
Извършената/ADJ,тройна/ADJ,експертиза/NOUN
бившата/ADJ,съветска/ADJ,република/NOUN
остра/ADJ,сърдечна/ADJ,недостатъчност/NOUN
българското/ADJ,външно/ADJ,министерство/NOUN
строг/ADJ,тъмничен/ADJ,затвор/NOUN
Подписаното/ADJ,предизборно/ADJ,споразумение/NOUN
свежи/ADJ,предизборни/ADJ,идеи/NOUN
мъгляви/ADJ,социаллиберални/ADJ,коалиции/NOUN
мъгляви/ADJ,социаллиберални/ADJ,коалиции/NOUN
сериозни/ADJ,политически/ADJ,амбиции/NOUN
висок/ADJ,личен/ADJ,рейтинг/NOUN
българския/ADJ,политически/ADJ,процес/NOUN
Втори/ADJ,датски/ADJ,военнослужещ/NOUN
международните/ADJ,умиротворителни/ADJ,сили/NOUN
ръководни/ADJ,медийни/ADJ,постове/NOUN
24-часова/ADJ,програмна/ADJ,схема/NOUN
столичното/ADJ,филмотечно/ADJ,кино/NOUN
бели/ADJ,ъглови/ADJ,греди/NOUN
червена/ADJ,служебна/ADJ,сграда/NOUN
високите/ADJ,трикраки/ADJ,табуретки/NOUN
Дебелата/ADJ,пъстра/ADJ,котка/NOUN
младите/ADJ,германски/ADJ,спортисти/NOUN
световното/ADJ,клубно/ADJ,първенство/NOUN
същата/ADJ,добра/ADJ,реализация/NOUN
определен/ADJ,финансов/ADJ,еквивалент/NOUN
лошо/ADJ,финансово/ADJ,положение/NOUN
новия/ADJ,национален/ADJ,треньор/NOUN
българския/ADJ,държавен/ADJ,глава/NOUN
Балканския/ADJ,политически/ADJ,клуб/NOUN
общи/ADJ,инфраструктурни/ADJ,проекти/NOUN
кооперираните/ADJ,балкански/ADJ,усилия/NOUN
Българският/ADJ,държавен/ADJ,глава/NOUN
пети/ADJ,пореден/ADJ,път/NOUN
Новоселското/ADJ,Априлско/ADJ,въстание/NOUN
Първи/ADJ,революционен/ADJ,окръг/NOUN
Петнадесетото/ADJ,международно/ADJ,биенале/NOUN
Централната/ADJ,избирателна/ADJ,комисия/NOUN
Висшето/ADJ,военноморско/ADJ,училище/NOUN
нов/ADJ,навигационен/ADJ,симулатор/NOUN
нов/ADJ,навигационен/ADJ,тренажор/NOUN
други/ADJ,висши/ADJ,офицери/NOUN
Висшето/ADJ,военноморско/ADJ,училище/NOUN
изградения/ADJ,международен/ADJ,авторитет/NOUN
различни/ADJ,гледни/ADJ,точки/NOUN
Българският/ADJ,държавен/ADJ,глава/NOUN
новоприетия/ADJ,избирателен/ADJ,закон/NOUN
новия/ADJ,избирателния/ADJ,закон/NOUN
българският/ADJ,политически/ADJ,живот/NOUN
Европейската/ADJ,народна/ADJ,партия/NOUN
Македонският/ADJ,държавен/ADJ,глава/NOUN
Европейската/ADJ,народна/ADJ,партия/NOUN
нови/ADJ,работни/ADJ,места/NOUN
Европейската/ADJ,народна/ADJ,партия/NOUN
Европейската/ADJ,народна/ADJ,партия/NOUN
поредната/ADJ,политическа/ADJ,чистка/NOUN
Добруджанския/ADJ,въглищен/ADJ,басейн/NOUN
Добруджанското/ADJ,въглищно/ADJ,находище/NOUN
Европейската/ADJ,инвестиционна/ADJ,банка/NOUN
безжична/ADJ,цифрова/ADJ,комуникация/NOUN
най-различни/ADJ,партийни/ADJ,пристрастия/NOUN
българските/ADJ,национални/ADJ,легиони/NOUN
безкрайно/ADJ,живописно/ADJ,прекарване/NOUN
Същата/ADJ,амбициозна/ADJ,фондация/NOUN
музикално/ADJ,изпълнителско/ADJ,изкуство/NOUN
Другата/ADJ,бунтовна/ADJ,групировка/NOUN
други/ADJ,пострадали/ADJ,коли/NOUN
задната/ADJ,лява/ADJ,седалка/NOUN
варненската/ADJ,районна/ADJ,прокуратура/NOUN
Държавен/ADJ,финансов/ADJ,контрол/NOUN
Океанският/ADJ,риболовен/ADJ,траулер/NOUN
фина/ADJ,холографска/ADJ,лента/NOUN
непристъпен/ADJ,горски/ADJ,район/NOUN
новата/ADJ,информационна/ADJ,система/NOUN
грубо/ADJ,безстопанствено/ADJ,отношение/NOUN
друг/ADJ,отговорен/ADJ,магистрат/NOUN
румънското/ADJ,здравно/ADJ,министерство/NOUN
специално/ADJ,техническо/ADJ,средство/NOUN
Висшата/ADJ,специална/ADJ,школа/NOUN
четиристранен/ADJ,конферентен/ADJ,разговор/NOUN
последни/ADJ,телефонни/ADJ,разговори/NOUN
международните/ADJ,финансови/ADJ,институции/NOUN
самата/ADJ,работна/ADJ,група/NOUN
нова/ADJ,приватизационна/ADJ,стратегия/NOUN
сегашните/ADJ,приватизационни/ADJ,закони/NOUN
националната/ADJ,спортна/ADJ,федерация/NOUN
Британската/ADJ,спортна/ADJ,федерация/NOUN
20-годишна/ADJ,вярна/ADJ,служба/NOUN
нелигитимния/ADJ,футболен/ADJ,съюз/NOUN
първият/ADJ,уволнен/ADJ,треньор/NOUN
специалните/ADJ,абонаментни/ADJ,карти/NOUN
Втора/ADJ,поредна/ADJ,година/NOUN
Европейската/ADJ,народна/ADJ,партия/NOUN
Европейската/ADJ,народна/ADJ,партия/NOUN
единственият/ADJ,син/ADJ,лидер/NOUN
важно/ADJ,регионално/ADJ,измерение/NOUN
европейската/ADJ,политическа/ADJ,сила/NOUN
европейското/ADJ,социалистическо/ADJ,семейството/NOUN
евентуалното/ADJ,обратно/ADJ,въвеждане/NOUN
основната/ADJ,външнополитическа/ADJ,заплаха/NOUN
евентуалната/ADJ,емигрантска/ADJ,вълна/NOUN
най-висшите/ADJ,управляващи/ADJ,кръгове/NOUN
бъдещата/ADJ,европейска/ADJ,отбрана/NOUN
голи/ADJ,обли/ADJ,хълмове/NOUN
Европейските/ADJ,социалдемократически/ADJ,партии/NOUN
европейските/ADJ,леви/ADJ,лидери/NOUN
старинна/ADJ,двуетажна/ADJ,къща/NOUN
другия/ADJ,изселнически/ADJ,квартал/NOUN
местната/ADJ,университетска/ADJ,болница/NOUN
поредната/ADJ,болна/ADJ,старица/NOUN
цяла/ADJ,внушителна/ADJ,лаборатория/NOUN
луксозната/ADJ,семейна/ADJ,лимузина/NOUN
огромния/ADJ,технически/ADJ,потенциал/NOUN
четирицилиндровият/ADJ,двулитров/ADJ,мотор/NOUN
новият/ADJ,икономически/ADJ,курс/NOUN
морска/ADJ,кристална/ADJ,сол/NOUN
типичен/ADJ,щатски/ADJ,пикап/NOUN
модулируемо/ADJ,товарно/ADJ,пространство/NOUN
Главна/ADJ,данъчна/ADJ,дирекция/NOUN
Главна/ADJ,данъчна/ADJ,дирекция/NOUN
съответното/ADJ,данъчно/ADJ,подразделение/NOUN
Прекрасният/ADJ,нов/ADJ,век/NOUN
колективна/ADJ,национална/ADJ,мечта/NOUN
прекрасен/ADJ,нов/ADJ,век/NOUN
прекрасния/ADJ,нов/ADJ,век/NOUN
първите/ADJ,български/ADJ,медалисти/NOUN
Общият/ADJ,награден/ADJ,фонд/NOUN
Аржентинската/ADJ,футболна/ADJ,легенда/NOUN
Аржентинската/ADJ,футболна/ADJ,легенда/NOUN
Рекордни/ADJ,финансови/ADJ,загуби/NOUN
изминалата/ADJ,финансова/ADJ,година/NOUN
нереализирани/ADJ,тв/ADJ,права/NOUN
ниска/ADJ,зрителска/ADJ,посещаемост/NOUN
средната/ADJ,митническа/ADJ,ставка/NOUN
негативния/ADJ,визов/ADJ,списък/NOUN
предсрочни/ADJ,парламентарни/ADJ,избори/NOUN
Съвременните/ADJ,ауспухови/ADJ,системи/NOUN
Най-добрият/ADJ,френски/ADJ,скиор/NOUN
Първото/ADJ,българско/ADJ,бебе/NOUN
втори/ADJ,пореден/ADJ,път/NOUN
най-големия/ADJ,истанбулски/ADJ,площад/NOUN
светещата/ADJ,новогодишна/ADJ,украса/NOUN
атинската/ADJ,фондова/ADJ,борса/NOUN
гръцката/ADJ,централна/ADJ,банка/NOUN
минимален/ADJ,национален/ADJ,консенсус/NOUN
масираната/ADJ,обществена/ADJ,кампания/NOUN
самата/ADJ,съдебна/ADJ,власт/NOUN
общия/ADJ,политически/ADJ,дебат/NOUN
цялата/ADJ,политическа/ADJ,система/NOUN
минимален/ADJ,национален/ADJ,консенсус/NOUN
Вторият/ADJ,основен/ADJ,дебат/NOUN
усилна/ADJ,компроматна/ADJ,война/NOUN
известния/ADJ,цигулков/ADJ,педагог/NOUN
иранския/ADJ,национален/ADJ,отбор/NOUN
тогавашният/ADJ,партиен/ADJ,печат/NOUN
нови/ADJ,работни/ADJ,места/NOUN
преливащ/ADJ,валутен/ADJ,резерв/NOUN
Загадъчно/ADJ,българско/ADJ,племе/NOUN
останалите/ADJ,африкански/ADJ,страни/NOUN
голяма/ADJ,нефтена/ADJ,компания/NOUN
сложни/ADJ,предизборни/ADJ,маневри/NOUN
сгрешен/ADJ,зърнен/ADJ,баланс/NOUN
тогавашният/ADJ,финансов/ADJ,министър/NOUN
други/ADJ,петролни/ADJ,продукти/NOUN
тогавашният/ADJ,промишлен/ADJ,министър/NOUN
Втората/ADJ,международна/ADJ,конференция/NOUN
безплатно/ADJ,синьо/ADJ,гориво/NOUN
изненадваща/ADJ,среднощна/ADJ,проверка/NOUN
Намерените/ADJ,нередовни/ADJ,бандероли/NOUN
Европейската/ADJ,централна/ADJ,банка/NOUN
Европейската/ADJ,централна/ADJ,банка/NOUN
новите/ADJ,европейски/ADJ,договори/NOUN
европейските/ADJ,фондови/ADJ,борси/NOUN
Българска/ADJ,фондова/ADJ,борса/NOUN
Руска/ADJ,търговска/ADJ,система/NOUN
Териториалната/ADJ,данъчна/ADJ,дирекция/NOUN
Седемчленният/ADJ,Надзорен/ADJ,съвет/NOUN
пловдивското/ADJ,козметично/ADJ,предприятие/NOUN
брутната/ADJ,добавена/ADJ,стойност/NOUN
новият/ADJ,общински/ADJ,лидер/NOUN
най-малката/ADJ,разградска/ADJ,община/NOUN
подзаконовите/ADJ,нормативни/ADJ,уредби/NOUN
съществуващите/ADJ,правни/ADJ,проблеми/NOUN
значим/ADJ,обществен/ADJ,интерес/NOUN
нови/ADJ,работни/ADJ,места/NOUN
двоен/ADJ,ляв/ADJ,бъбрек/NOUN
негодната/ADJ,долна/ADJ,част/NOUN
бившите/ADJ,Главна/ADJ,прокуратура/NOUN
Национална/ADJ,следствена/ADJ,служба/NOUN
нова/ADJ,данъчна/ADJ,оценка/NOUN
следващите/ADJ,парламентарни/ADJ,избори/NOUN
по-широка/ADJ,коалиционна/ADJ,политика/NOUN
дълго/ADJ,маратонско/ADJ,бягане/NOUN
реален/ADJ,икономически/ADJ,растеж/NOUN
нова/ADJ,коалиционна/ADJ,политика/NOUN
действителна/ADJ,коалиционна/ADJ,култура/NOUN
пловдивският/ADJ,регионален/ADJ,лидер/NOUN
тридневно/ADJ,официално/ADJ,посещение/NOUN
независим/ADJ,строителен/ADJ,надзор/NOUN
Държавния/ADJ,статистически/ADJ,институт/NOUN
Иранската/ADJ,опозиционна/ADJ,организация/NOUN
руският/ADJ,енергиен/ADJ,гигант/NOUN
Европейската/ADJ,народна/ADJ,партия/NOUN
по-сериозна/ADJ,външнополитическа/ADJ,заявка/NOUN
официално/ADJ,двудневно/ADJ,посещение/NOUN
бившия/ADJ,югославски/ADJ,президент/NOUN
малката/ADJ,адриатическа/ADJ,република/NOUN
нов/ADJ,въоръжен/ADJ,конфликт/NOUN
бившия/ADJ,югославски/ADJ,президент/NOUN
полското/ADJ,селско/ADJ,стопанство/NOUN
опозиционния/ADJ,Християндемократически/ADJ,съюз/NOUN
Европейската/ADJ,централна/ADJ,банка/NOUN
Холандската/ADJ,централна/ADJ,банка/NOUN
международни/ADJ,банкови/ADJ,институции/NOUN
Мощната/ADJ,швейцарска/ADJ,банка/NOUN
общовалидни/ADJ,международни/ADJ,стандарти/NOUN
глобалната/ADJ,финансова/ADJ,система/NOUN
редовна/ADJ,военна/ADJ,служба/NOUN
Втората/ADJ,световна/ADJ,война/NOUN
кратко/ADJ,тв/ADJ,интервю/NOUN
разкошните/ADJ,старинни/ADJ,книги/NOUN
най-крупните/ADJ,банкови/ADJ,скандали/NOUN
едноименния/ADJ,международен/ADJ,конкурс/NOUN
50-ия/ADJ,рожден/ADJ,ден/NOUN
най-добър/ADJ,чуждестранен/ADJ,филм/NOUN
най-доброто/ADJ,подготвително/ADJ,училище/NOUN
най-хубавите/ADJ,възможни/ADJ,светове/NOUN
големи/ADJ,идеалистически/ADJ,революции/NOUN
млади/ADJ,театрални/ADJ,актьори/NOUN
новооткритото/ADJ,небесно/ADJ,тяло/NOUN
Международното/ADJ,астрономическо/ADJ,дружество/NOUN
Френски/ADJ,автомобилни/ADJ,конструктори/NOUN
Новото/ADJ,превозно/ADJ,средство/NOUN
извършените/ADJ,строително-монтажни/ADJ,работи/NOUN
врачанският/ADJ,окръжен/ADJ,прокурор/NOUN
извършените/ADJ,измамни/ADJ,действия/NOUN
другите/ADJ,банкови/ADJ,институции/NOUN
изяснената/ADJ,фактическа/ADJ,обстановка/NOUN
изключителна/ADJ,фактическа/ADJ,сложност/NOUN
необходимите/ADJ,процесуално-следствени/ADJ,действия/NOUN
популярно/ADJ,кратко/ADJ,название/NOUN
бившите/ADJ,съветски/ADJ,републики/NOUN
културно-религиозна/ADJ,гледна/ADJ,точка/NOUN
българската/ADJ,външна/ADJ,търговия/NOUN
първите/ADJ,частни/ADJ,банки/NOUN
истинската/ADJ,пазарна/ADJ,икономика/NOUN
субсидираната/ADJ,селскостопанска/ADJ,продукция/NOUN
т.нар./ADJ,просветен/ADJ,пазар/NOUN
италианско/ADJ,маркетингово/ADJ,изследване/NOUN
най-малката/ADJ,разходна/ADJ,тежест/NOUN
дребни/ADJ,политически/ADJ,комбинации/NOUN
Великите/ADJ,географски/ADJ,открития/NOUN
реална/ADJ,пазарна/ADJ,стойност/NOUN
софийската/ADJ,охранителна/ADJ,фирма/NOUN
Някогашните/ADJ,селскостопански/ADJ,обори/NOUN
Разложката/ADJ,дървена/ADJ,мафия/NOUN
извънредно/ADJ,четиричасово/ADJ,заседание/NOUN
висш/ADJ,партиен/ADJ,пост/NOUN
вчерашното/ADJ,извънредно/ADJ,заседание/NOUN
областен/ADJ,координиращ/ADJ,съвет/NOUN
българския/ADJ,външен/ADJ,министър/NOUN
възможни/ADJ,законови/ADJ,средства/NOUN
Българската/ADJ,стопанска/ADJ,камара/NOUN
голямо/ADJ,политическо/ADJ,значение/NOUN
пълна/ADJ,проектна/ADJ,готовност/NOUN
нов/ADJ,рамков/ADJ,договор/NOUN
Българският/ADJ,лекарски/ADJ,съюз/NOUN
подготвяната/ADJ,нова/ADJ,политика/NOUN
американската/ADJ,икономическа/ADJ,система/NOUN
т.нар./ADJ,отворени/ADJ,избиратели/NOUN
сръбската/ADJ,национална/ADJ,телевизия/NOUN
белградската/ADJ,военна/ADJ,болница/NOUN
бившия/ADJ,югославски/ADJ,президент/NOUN
сериозна/ADJ,нервна/ADJ,криза/NOUN
първите/ADJ,демократични/ADJ,избори/NOUN
косовския/ADJ,главен/ADJ,град/NOUN
висш/ADJ,щатски/ADJ,чиновник/NOUN
важен/ADJ,исторически/ADJ,символ/NOUN
бившия/ADJ,югославски/ADJ,президент/NOUN
най-висшата/ADJ,съдебна/ADJ,институция/NOUN
баската/ADJ,сепаратистка/ADJ,организация/NOUN
надеждни/ADJ,прогнозни/ADJ,данни/NOUN
