rythme/NOUN,cardiaque/ADJ,normal/ADJ
agence/NOUN,gouvernementale/ADJ,américaine/ADJ
nouvelles/ADJ,recrues/NOUN,militaires/ADJ
anciens/ADJ,services/NOUN,secrets/ADJ
quartiers/NOUN,généraux/ADJ,américains/ADJ
premier/ADJ,Championnat/NOUN,international/ADJ
premier/ADJ,cosmonaute/NOUN,russe/ADJ
premier/ADJ,cosmonaute/NOUN,russe/ADJ
grossesse/NOUN,humaine/ADJ,normale/ADJ
dernière/ADJ,grande/ADJ,éruption/NOUN
dernière/ADJ,éruption/NOUN,importante/ADJ
groupe/NOUN,religieux/ADJ,japonais/ADJ
Deuxième/ADJ,Guerre/NOUN,mondiale/ADJ
autre/ADJ,terme/NOUN,astronomique/ADJ
tenue/NOUN,multicolore/ADJ,traditionnelle/ADJ
premier/ADJ,premier/ADJ,ministre/NOUN
premier/ADJ,président/NOUN,américain/ADJ
premier/ADJ,président/NOUN,américain/ADJ
premier/ADJ,satellite/NOUN,américain/ADJ
ville/NOUN,écossaise/ADJ,mythique/ADJ
hymne/NOUN,national/ADJ,nord-coréen/ADJ
principale/ADJ,exportation/NOUN,principale/ADJ
première/ADJ,série/NOUN,télévisée/ADJ
Guerre/NOUN,civile/ADJ,espagnole/ADJ
Station/NOUN,spatiale/ADJ,internationale/ADJ
première/ADJ,bombe/NOUN,atomique/ADJ
Deuxième/ADJ,Guerre/NOUN,mondiale/ADJ
base/NOUN,militaire/ADJ,américaine/ADJ
premier/ADJ,phare/NOUN,américain/ADJ
première/ADJ,transplantation/NOUN,cardiaque/ADJ
nouvelles/ADJ,populations/NOUN,légales/ADJ
½/ADJ,part/NOUN,supplémentaire/ADJ
bien/NOUN,immobilier/ADJ,vide/ADJ
résidences/NOUN,mobiles/ADJ,terrestres/ADJ
maladie/NOUN,neurologique/ADJ,rare/ADJ
premier/ADJ,président/NOUN,taïwanais/ADJ
sixième/ADJ,rencontre/NOUN,annuelle/ADJ
premier/ADJ,président/NOUN,noir/ADJ
chantier/NOUN,naval/ADJ,japonais/ADJ
immense/ADJ,complexe/NOUN,nucléaire/ADJ
maladie/NOUN,neurologique/ADJ,chronique/ADJ
premier/ADJ,citoyen/NOUN,privé/ADJ
grande/ADJ,ville/NOUN,américaine/ADJ
compagnies/NOUN,financières/ADJ,étrangères/ADJ
station/NOUN,spatiale/ADJ,permanente/ADJ
célèbre/ADJ,chef/NOUN,communiste/ADJ
dernière/ADJ,invasion/NOUN,américaine/ADJ
élection/NOUN,présidentielle/ADJ,américaine/ADJ
premier/ADJ,cosmonaute/NOUN,russe/ADJ
Deuxième/ADJ,Guerre/NOUN,mondiale/ADJ
première/ADJ,voie/NOUN,ferrée/ADJ
politicien/NOUN,communiste/ADJ,chinois/ADJ
salaire/NOUN,fédéral/ADJ,minimum/ADJ
seconde/ADJ,navette/NOUN,spatiale/ADJ
quartiers/NOUN,généraux/ADJ,américains/ADJ
maternité/NOUN,humaine/ADJ,normale/ADJ
dernière/ADJ,éruption/NOUN,majeure/ADJ
Guerre/NOUN,civile/ADJ,américaine/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
Deuxième/ADJ,Guerre/NOUN,mondiale/ADJ
coureur/NOUN,cycliste/ADJ,espagnol/ADJ
coûteuses/ADJ,armures/NOUN,complètes/ADJ
petit/ADJ,requin/NOUN,bathy-benthique/ADJ
autre/ADJ,composant/NOUN,génétique/ADJ
identité/NOUN,nationale/ADJ,polonaise/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
dernier/ADJ,périmètre/NOUN,vital/ADJ
République/NOUN,fédérale/ADJ,islamique/ADJ
ancienne/ADJ,joueuse/NOUN,australienne/ADJ
Nouveau/ADJ,Cinéma/NOUN,grec/ADJ
vers/NOUN,plats/ADJ,parasites/ADJ
gare/NOUN,ferroviaire/ADJ,française/ADJ
faible/ADJ,flux/NOUN,lumineux/ADJ
meilleurs/ADJ,romans/NOUN,policiers/ADJ
autorité/NOUN,administrative/ADJ,indépendante/ADJ
mini-série/NOUN,biographique/ADJ,québécoise/ADJ
meilleure/ADJ,université/NOUN,technique/ADJ
grandes/ADJ,associations/NOUN,internationales/ADJ
acide/NOUN,gras/ADJ,polyinsaturé/ADJ
autres/ADJ,économies/NOUN,européennes/ADJ
territoires/NOUN,sahraouis/ADJ,occupés/ADJ
premiers/ADJ,jeux/NOUN,vidéo/ADJ
parti/NOUN,communiste/ADJ,français/ADJ
Parti/NOUN,démocrate/ADJ,local/ADJ
famille/NOUN,aristocratique/ADJ,bretonne/ADJ
première/ADJ,tournée/NOUN,européenne/ADJ
nouveau/ADJ,Premier/ADJ,ministre/NOUN
Souverain/ADJ,grand/ADJ,comité/NOUN
Première/ADJ,Guerre/NOUN,mondiale/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
militant/NOUN,royaliste/ADJ,français/ADJ
cortex/NOUN,somesthésique/ADJ,primaire/ADJ
territoires/NOUN,sahraouis/ADJ,libérés/ADJ
récompense/NOUN,cinématographique/ADJ,américaine/ADJ
universités/NOUN,françaises/ADJ,partenaires/ADJ
premier/ADJ,ministre/NOUN,français/ADJ
propres/ADJ,ordures/NOUN,ménagères/ADJ
meilleurs/ADJ,clubs/NOUN,tunisiens/ADJ
coureur/NOUN,cycliste/ADJ,ivoirien/ADJ
guerre/NOUN,civile/ADJ,espagnole/ADJ
Seconde/ADJ,République/NOUN,espagnole/ADJ
télévision/NOUN,publique/ADJ,britannique/ADJ
échangeur/NOUN,autoroutier/ADJ,complet/ADJ
meilleur/ADJ,restaurant/NOUN,Japonnais/ADJ
double/ADJ,nationalité/NOUN,suisse/ADJ
Premier/ADJ,ministre/NOUN,pakistanais/ADJ
Assemblée/NOUN,constituante/ADJ,souveraine/ADJ
Station/NOUN,spatiale/ADJ,internationale/ADJ
nœud/NOUN,routier/ADJ,important/ADJ
conditions/NOUN,météorologiques/ADJ,déplorables/ADJ
pratique/NOUN,musicale/ADJ,chrétienne/ADJ
nouvelle/ADJ,organisation/NOUN,monocamérale/ADJ
nouvelle/ADJ,assemblée/NOUN,unique/ADJ
ancienne/ADJ,organisation/NOUN,bicamérale/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
solde/NOUN,naturel/ADJ,annuel/ADJ
rendement/NOUN,optique/ADJ,maximal/ADJ
nouveau/ADJ,gouvernement/NOUN,russe/ADJ
premier/ADJ,recensement/NOUN,exhaustif/ADJ
vie/NOUN,culturelle/ADJ,active/ADJ
voies/NOUN,ferrées/ADJ,françaises/ADJ
parti/NOUN,politique/ADJ,indien/ADJ
division/NOUN,administrative/ADJ,française/ADJ
pression/NOUN,hydrostatique/ADJ,importante/ADJ
masque/NOUN,facial/ADJ,turquoise/ADJ
second/ADJ,niveau/NOUN,national/ADJ
réseaux/NOUN,écologiques/ADJ,régionaux/ADJ
position/NOUN,christologique/ADJ,monophysite/ADJ
homme/NOUN,politique/ADJ,anglais/ADJ
peinture/NOUN,bleue/ADJ,saturée/ADJ
nombreuses/ADJ,richesses/NOUN,locales/ADJ
seuls/ADJ,membres/NOUN,survivants/ADJ
longue/ADJ,queue/NOUN,étroite/ADJ
passionnant/ADJ,documentaire/NOUN,sonore/ADJ
station/NOUN,balnéaire/ADJ,algérienne/ADJ
troisième/ADJ,tir/NOUN,glorieux/ADJ
vaste/ADJ,corps/NOUN,central/ADJ
nombreuses/ADJ,sources/NOUN,chaudes/ADJ
cinéma/NOUN,social/ADJ,américains/ADJ
terrain/NOUN,politique/ADJ,vierge/ADJ
meilleure/ADJ,joueuse/NOUN,européenne/ADJ
Parti/NOUN,communiste/ADJ,palestinien/ADJ
cathédrale/NOUN,anglicane/ADJ,britannique/ADJ
prêtre/NOUN,jésuite/ADJ,français/ADJ
perte/NOUN,financière/ADJ,considérable/ADJ
service/NOUN,militaire/ADJ,obligatoire/ADJ
littérature/NOUN,classique/ADJ,étrangère/ADJ
premier/ADJ,sous-marin/NOUN,ennemi/ADJ
première/ADJ,attaque/NOUN,aérienne/ADJ
dangereux/ADJ,chefs/NOUN,terroristes/ADJ
premier/ADJ,circuit/NOUN,économique/ADJ
produits/NOUN,laitiers/ADJ,biologiques/ADJ
ingrédients/NOUN,prétranchés/ADJ,surgelés/ADJ
première/ADJ,recette/NOUN,française/ADJ
quatrième/ADJ,meilleur/ADJ,résultat/NOUN
sélection/NOUN,nationale/ADJ,togolaise/ADJ
élections/NOUN,législatives/ADJ,françaises/ADJ
ancien/ADJ,footballeur/NOUN,norvégien/ADJ
premiers/ADJ,militants/NOUN,fabiusiens/ADJ
grand/ADJ,maître/NOUN,international/ADJ
réelle/ADJ,dimension/NOUN,dramatique/ADJ
température/NOUN,minimale/ADJ,moyenne/ADJ
futures/ADJ,marées/NOUN,noires/ADJ
grands/ADJ,groupes/NOUN,pétroliers/ADJ
deuxième/ADJ,niveau/NOUN,national/ADJ
émotions/NOUN,paysannes/ADJ,médiévales/ADJ
compositeur/NOUN,belge/ADJ,néoclassique/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
résultat/NOUN,opérationnel/ADJ,courant/ADJ
Football/NOUN,Atlantique/ADJ,Rochelais/ADJ
incontournable/ADJ,épreuve/NOUN,internationale/ADJ
plate-forme/NOUN,logicielle/ADJ,intégrée/ADJ
pires/ADJ,saisons/NOUN,grippales/ADJ
matériel/NOUN,pédagogique/ADJ,spécifique/ADJ
meilleures/ADJ,conditions/NOUN,financières/ADJ
nouveau/ADJ,texte/NOUN,constitutionnel/ADJ
autres/ADJ,principaux/ADJ,représentants/NOUN
pouvoirs/NOUN,publics/ADJ,ivoiriens/ADJ
Parti/NOUN,communiste/ADJ,chinois/ADJ
hockey/NOUN,junior/ADJ,majeur/ADJ
Premier/ADJ,ministre/NOUN,grec/ADJ
future/ADJ,Banque/NOUN,centrale/ADJ
ensemble/NOUN,musical/ADJ,français/ADJ
première/ADJ,élection/NOUN,présidentielle/ADJ
grands/ADJ,chantiers/NOUN,économiques/ADJ
précédente/ADJ,réunion/NOUN,informelle/ADJ
petite/ADJ,robe/NOUN,cintrée/ADJ
ancien/ADJ,footballeur/NOUN,français/ADJ
analyse/NOUN,chimique/ADJ,environnementale/ADJ
divers/ADJ,services/NOUN,gouvernementaux/ADJ
vols/NOUN,orbitaux/ADJ,habités/ADJ
homme/NOUN,politique/ADJ,français/ADJ
homme/NOUN,politique/ADJ,français/ADJ
premier/ADJ,album/NOUN,solo/ADJ
film/NOUN,dramatique/ADJ,américain/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
seule/ADJ,phase/NOUN,incompressible/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
double/ADJ,enveloppe/NOUN,cylindrique/ADJ
Communauté/NOUN,économique/ADJ,européenne/ADJ
taux/NOUN,directeur/ADJ,inchangé/ADJ
population/NOUN,adulte/ADJ,saine/ADJ
Marine/NOUN,impériale/ADJ,japonaise/ADJ
premier/ADJ,établissement/NOUN,officiel/ADJ
propres/ADJ,fichiers/NOUN,manuels/ADJ
différents/ADJ,forums/NOUN,internationaux/ADJ
vin/NOUN,blanc/ADJ,français/ADJ
débit/NOUN,mensuel/ADJ,estival/ADJ
structure/NOUN,intercommunale/ADJ,française/ADJ
vingt-quatrième/ADJ,album/NOUN,cohérent/ADJ
température/NOUN,minimum/ADJ,moyenne/ADJ
film/NOUN,dramatique/ADJ,franco-italien/ADJ
ancien/ADJ,secrétaire/NOUN,général/ADJ
précédentes/ADJ,expéditions/NOUN,cartographiques/ADJ
première/ADJ,carte/NOUN,complète/ADJ
college/NOUN,privé/ADJ,américain/ADJ
haut/ADJ,fonctionnaire/NOUN,américain/ADJ
derniers/ADJ,pourparlers/NOUN,informels/ADJ
anciens/ADJ,chanceliers/NOUN,royaux/ADJ
premiers/ADJ,disques/NOUN,personnels/ADJ
élections/NOUN,législatives/ADJ,régionales/ADJ
dernier/ADJ,assaut/NOUN,frontal/ADJ
maîtres/NOUN,spirituels/ADJ,indiens/ADJ
meilleurs/ADJ,joueurs/NOUN,irlandais/ADJ
nombreuses/ADJ,autres/ADJ,préparations/NOUN
bonne/ADJ,première/ADJ,saison/NOUN
lourd/ADJ,furisode/NOUN,protecteur/ADJ
sciences/NOUN,politiques/ADJ,français/ADJ
vie/NOUN,politique/ADJ,américaine/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
sites/NOUN,naturels/ADJ,remarquables/ADJ
véritable/ADJ,guerre/NOUN,civile/ADJ
enceintes/NOUN,parlementaires/ADJ,françaises/ADJ
alliance/NOUN,anti-indépendantiste/ADJ,secrète/ADJ
groupuscules/NOUN,contre-révolutionnaire/ADJ,locaux/ADJ
personnalités/NOUN,poujadistes/ADJ,influentes/ADJ
licences/NOUN,exclusives/ADJ,mondiales/ADJ
grande/ADJ,prudence/NOUN,gestionnaire/ADJ
grand/ADJ,salon/NOUN,ovale/ADJ
imposante/ADJ,maison/NOUN,bourgeoise/ADJ
petit/ADJ,point/NOUN,négatif/ADJ
homme/NOUN,politique/ADJ,ivoirien/ADJ
anciens/ADJ,quartiers/NOUN,populaires/ADJ
délicieux/ADJ,thés/NOUN,anglais/ADJ
autres/ADJ,sites/NOUN,touristiques/ADJ
Haut/ADJ,Moyen/ADJ,Âge/NOUN
île/NOUN,corallienne/ADJ,inhabitée/ADJ
skieur/NOUN,acrobatique/ADJ,autrichien/ADJ
examen/NOUN,physique/ADJ,général/ADJ
nouveau/ADJ,collège/NOUN,cardinalice/ADJ
Secrétariat/NOUN,général/ADJ,hellénique/ADJ
série/NOUN,télévisée/ADJ,canadienne/ADJ
bon/ADJ,petit/ADJ,restaurant/NOUN
grandes/ADJ,invasions/NOUN,barbares/ADJ
intenses/ADJ,discussions/NOUN,diplomatiques/ADJ
ancienne/ADJ,base/NOUN,aérienne/ADJ
fête/NOUN,celtique/ADJ,enflammée/ADJ
données/NOUN,publiques/ADJ,ouvertes/ADJ
sociétés/NOUN,sidérurugiques/ADJ,luxembourgeoises/ADJ
événement/NOUN,mental/ADJ,singulier/ADJ
autres/ADJ,bonnes/ADJ,critiques/NOUN
suffrage/NOUN,universel/ADJ,direct/ADJ
villes/NOUN,thermales/ADJ,allemandes/ADJ
exploitation/NOUN,agricole/ADJ,vivrière/ADJ
petite/ADJ,échoppe/NOUN,discrète/ADJ
médias/NOUN,bourgeois/ADJ,conservateurs/ADJ
éléments/NOUN,architecturaux/ADJ,caractéristiques/ADJ
seul/ADJ,point/NOUN,negatif/ADJ
meilleur/ADJ,petit/ADJ,ami/NOUN
puissances/NOUN,démocratiques/ADJ,occidentales/ADJ
ancien/ADJ,footballeur/NOUN,français/ADJ
pays/NOUN,arabe/ADJ,précis/ADJ
police/NOUN,secrète/ADJ,allemande/ADJ
autres/ADJ,collègues/NOUN,parlementaires/ADJ
exposé/NOUN,autobiographique/ADJ,vrai/ADJ
grande/ADJ,force/NOUN,persuasive/ADJ
joueur/NOUN,international/ADJ,péruvien/ADJ
accident/NOUN,cardio-vasculaire/ADJ,grave/ADJ
premiers/ADJ,êtres/NOUN,humains/ADJ
fine/NOUN,bordure/ADJ,orange/ADJ
prochain/ADJ,Conseil/NOUN,européen/ADJ
XVe/ADJ,division/NOUN,écossaise/ADJ
IXe/ADJ,division/NOUN,écossaise/ADJ
défenses/NOUN,antiaériennes/ADJ,adverses/ADJ
nouvelle/ADJ,procédure/NOUN,rituelle/ADJ
lieu/NOUN,historique/ADJ,national/ADJ
deuxième/ADJ,année/NOUN,consécutive/ADJ
division/NOUN,administrative/ADJ,française/ADJ
grandes/ADJ,entreprises/NOUN,espagnoles/ADJ
bureaux/NOUN,administratifs/ADJ,fonctionnels/ADJ
bons/ADJ,petits/ADJ,resto/NOUN
petit/ADJ,ville/NOUN,vaudoise/ADJ
connexion/NOUN,électrique/ADJ,rapide/ADJ
Église/NOUN,orthodoxe/ADJ,russe/ADJ
jeu/NOUN,télévisé/ADJ,luxembourgeois/ADJ
bandes/NOUN,transversales/ADJ,noires/ADJ
grands/ADJ,ensembles/NOUN,immobiliers/ADJ
personnage/NOUN,médiatique/ADJ,espagnol/ADJ
meilleure/ADJ,première/ADJ,semaine/NOUN
nouveau/ADJ,constructeur/NOUN,italien/ADJ
seconde/ADJ,voiture/NOUN,automobile/ADJ
grand/ADJ,propriétaire/NOUN,terrien/ADJ
paradis/NOUN,toulousain/ADJ,abordable/ADJ
domination/NOUN,coloniale/ADJ,britannique/ADJ
autre/ADJ,matière/NOUN,adéquate/ADJ
forces/NOUN,armées/ADJ,nationales/ADJ
Comité/NOUN,consultatif/ADJ,mixte/ADJ
constat/NOUN,statistique/ADJ,navrant/ADJ
Véritable/ADJ,projet/NOUN,multimédia/ADJ
nombreuses/ADJ,vexations/NOUN,sexuelles/ADJ
seule/ADJ,langue/NOUN,officielle/ADJ
nouvelle/ADJ,tournée/NOUN,européenne/ADJ
Cinquième/ADJ,visite/NOUN,pastorale/ADJ
Espace/NOUN,économique/ADJ,européen/ADJ
autres/ADJ,médias/NOUN,marocains/ADJ
autres/ADJ,coupes/NOUN,européennes/ADJ
1re/ADJ,armée/NOUN,parachutiste/ADJ
probable/ADJ,île/NOUN,unique/ADJ
homme/NOUN,politique/ADJ,néerlandais/ADJ
Programme/NOUN,alimentaire/ADJ,mondial/ADJ
célèbre/ADJ,quotidien/NOUN,allemand/ADJ
Frankfurter/ADJ,Allgemeine/ADJ,Zeitung/NOUN
nouveau/ADJ,système/NOUN,légal/ADJ
premières/ADJ,compétences/NOUN,obligatoires/ADJ
carrière/NOUN,junior/ADJ,fructueuse/ADJ
information/NOUN,magnétique/ADJ,binaire/ADJ
élections/NOUN,législatives/ADJ,françaises/ADJ
Troisième/ADJ,Civilisation/NOUN,Hellénique/ADJ
empire/NOUN,grec/ADJ,byzantin/ADJ
autres/ADJ,systèmes/NOUN,minimalistes/ADJ
grande/ADJ,tradition/NOUN,orale/ADJ
autres/ADJ,groupes/NOUN,faibles/ADJ
château/NOUN,néogothique/ADJ,allemand/ADJ
services/NOUN,météorologiques/ADJ,africains/ADJ
grand/ADJ,intérêt/NOUN,biologique/ADJ
quatrième/ADJ,niveau/NOUN,national/ADJ
domaine/NOUN,social/ADJ,particulier/ADJ
deuxième/ADJ,marché/NOUN,couvert/ADJ
aide/NOUN,totale/ADJ,américaine/ADJ
vieilles/ADJ,querelles/NOUN,religieuses/ADJ
École/NOUN,normale/ADJ,supérieure/ADJ
communauté/NOUN,autonome/ADJ,espagnole/ADJ
Ancien/ADJ,Testament/NOUN,biblique/ADJ
quotidien/NOUN,national/ADJ,turc/ADJ
système/NOUN,paroissial/ADJ,écossais/ADJ
univers/NOUN,olfactif/ADJ,humain/ADJ
grand/ADJ,projet/NOUN,routier/ADJ
autres/ADJ,organes/NOUN,constituants/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
division/NOUN,administrative/ADJ,française/ADJ
assistance/NOUN,mutuelle/ADJ,administrative/ADJ
nombreux/ADJ,styles/NOUN,alternatifs/ADJ
petit/ADJ,service/NOUN,cinématographique/ADJ
premier/ADJ,documentaire/NOUN,scientifique/ADJ
navettes/NOUN,spatiales/ADJ,américaines/ADJ
jeune/ADJ,fille/NOUN,enceinte/ADJ
seul/ADJ,président/NOUN,français/ADJ
église/NOUN,catholique/ADJ,romaine/ADJ
techniques/NOUN,respiratoires/ADJ,énergétiques/ADJ
peintre/NOUN,italien/ADJ,baroque/ADJ
unique/ADJ,galerie/NOUN,marchande/ADJ
flux/NOUN,migratoires/ADJ,subsahariens/ADJ
Directeur/NOUN,Général/ADJ,adjoint/ADJ
ancienne/ADJ,déesse/NOUN,italique/ADJ
gentilhomme/NOUN,campagnard/ADJ,désargenté/ADJ
premier/ADJ,match/NOUN,officiel/ADJ
pluviométrie/NOUN,moyenne/ADJ,annuelle/ADJ
télévision/NOUN,satellitaire/ADJ,numérique/ADJ
républiques/NOUN,socialistes/ADJ,soviétiques/ADJ
économie/NOUN,politique/ADJ,critique/ADJ
écologie/NOUN,politique/ADJ,scientifique/ADJ
futur/ADJ,contrôleur/NOUN,général/ADJ
monde/NOUN,arabe/ADJ,sunnite/ADJ
liaisons/NOUN,aériennes/ADJ,ministérielles/ADJ
réseau/NOUN,ferroviaire/ADJ,hongrois/ADJ
service/NOUN,militaire/ADJ,obligatoire/ADJ
hélicoptères/NOUN,militaires/ADJ,américains/ADJ
gare/NOUN,ferroviaire/ADJ,française/ADJ
célèbre/ADJ,tenancière/NOUN,américaine/ADJ
beau/ADJ,cheval/NOUN,blême/ADJ
longue/ADJ,bataille/NOUN,judiciaire/ADJ
circulation/NOUN,aérienne/ADJ,publique/ADJ
histoire/NOUN,littéraire/ADJ,française/ADJ
monnaie/NOUN,locale/ADJ,convertible/ADJ
première/ADJ,période/NOUN,historique/ADJ
exonération/NOUN,fiscale/ADJ,totale/ADJ
théologien/NOUN,protestant/ADJ,français/ADJ
nouveaux/ADJ,mouvements/NOUN,sociaux/ADJ
annales/NOUN,judiciaires/ADJ,chinoises/ADJ
homme/NOUN,politique/ADJ,estonien/ADJ
meilleures/ADJ,conditions/NOUN,économiques/ADJ
État/NOUN,fédéral/ADJ,belge/ADJ
pension/NOUN,publique/ADJ,minimale/ADJ
vrai/ADJ,petit/ADJ,bar/NOUN
série/NOUN,télévisée/ADJ,américaine/ADJ
petits/ADJ,nuages/NOUN,déchiquetés/ADJ
débit/NOUN,mensuel/ADJ,minimal/ADJ
