Beogradska/ADJ,gej/ADJ,Parada/NOUN
nedeljne/ADJ,gej/ADJ,Parade/NOUN
Srpski/ADJ,narodni/ADJ,pokret/NOUN
velikim/ADJ,svetskim/ADJ,gradovima/NOUN
bivšeg/ADJ,komunističkog/ADJ,disidenta/NOUN
predsedničku/ADJ,predizbornu/ADJ,kampanju/NOUN
Prljavi/ADJ,predizborni/ADJ,napadi/NOUN
Kosovsko/ADJ,svetsko/ADJ,bijenale/NOUN
međunarodni/ADJ,folklorni/ADJ,festival/NOUN
novog/ADJ,Pravosudnog/ADJ,saveta/NOUN
novog/ADJ,pravosudnog/ADJ,sistema/NOUN
Putnički/ADJ,železnički/ADJ,saobraćaj/NOUN
Svečano/ADJ,ponovno/ADJ,uspostavljanje/NOUN
ogromnoj/ADJ,romskoj/ADJ,zajednici/NOUN
međunarodni/ADJ,krizni/ADJ,menadžment/NOUN
najveću/ADJ,etničku/ADJ,manjinu/NOUN
paralelne/ADJ,srpske/ADJ,institucije/NOUN
Hrvatski/ADJ,olimpijski/ADJ,skijaš/NOUN
Evropskom/ADJ,plivačkom/ADJ,prvenstvu/NOUN
evropskim/ADJ,plivačkim/ADJ,prvenstvima/NOUN
švedska/ADJ,kraljevska/ADJ,porodica/NOUN
nezamenljivom/ADJ,književnom/ADJ,teritorijom/NOUN
romske/ADJ,folklorne/ADJ,umetnosti/NOUN
lokalne/ADJ,amaterske/ADJ,trupe/NOUN
albanske/ADJ,političke/ADJ,stranke/NOUN
glavne/ADJ,političke/ADJ,stranke/NOUN
glavnu/ADJ,muzičku/ADJ,temu/NOUN
desničarske/ADJ,Velike/ADJ,koalicije/NOUN
manjinske/ADJ,grčke/ADJ,stranke/NOUN
Posmatračka/ADJ,izborna/ADJ,misija/NOUN
relevantne/ADJ,izborne/ADJ,komisije/NOUN
bivšeg/ADJ,kosovskog/ADJ,ministra/NOUN
bivšem/ADJ,kosovskom/ADJ,premijeru/NOUN
bivšeg/ADJ,kosovskog/ADJ,ministra/NOUN
Bivši/ADJ,kosovski/ADJ,ministar/NOUN
Međunarodni/ADJ,krivični/ADJ,tribunal/NOUN
bivšem/ADJ,kosovskom/ADJ,premijeru/NOUN
šestogodišnja/ADJ,zatvorska/ADJ,kazna/NOUN
Istanbulska/ADJ,modna/ADJ,akademija/NOUN
hrvatska/ADJ,modna/ADJ,događaja/NOUN
Hrvatska/ADJ,modna/ADJ,industrija/NOUN
najnovije/ADJ,modne/ADJ,trendove/NOUN
srpski/ADJ,modni/ADJ,kreator/NOUN
italijanske/ADJ,modne/ADJ,kuće/NOUN
Novi/ADJ,evropski/ADJ,komesari/NOUN
nova/ADJ,Evropska/ADJ,komisija/NOUN
bivši/ADJ,portugalski/ADJ,premijer/NOUN
glavnih/ADJ,političkih/ADJ,grupacija/NOUN
neodlučnim/ADJ,međunarodnim/ADJ,prisustvom/NOUN
drugačija/ADJ,politička/ADJ,situacija/NOUN
ostalih/ADJ,međunarodnih/ADJ,agencija/NOUN
jedinstvenih/ADJ,registarskih/ADJ,tablica/NOUN
novu/ADJ,državnu/ADJ,zastavu/NOUN
Najveći/ADJ,rani/ADJ,uspesi/NOUN
relevantne/ADJ,domaće/ADJ,institucije/NOUN
funkcionalnih/ADJ,lokalnih/ADJ,tela/NOUN
ključnih/ADJ,međunarodnih/ADJ,institucija/NOUN
kompetentne/ADJ,državne/ADJ,institucije/NOUN
najduži/ADJ,kontinuirani/ADJ,period/NOUN
bivšem/ADJ,Sovjetskom/ADJ,Savezu/NOUN
najmoćniji/ADJ,autoritarni/ADJ,režimi/NOUN
intenzivnog/ADJ,novog/ADJ,procesa/NOUN
martovskih/ADJ,parlamentarnih/ADJ,izbora/NOUN
Poslednja/ADJ,međunarodna/ADJ,nastojanja/NOUN
preostala/ADJ,pregovaračka/ADJ,poglavlja/NOUN
nove/ADJ,nezavisne/ADJ,države/NOUN
specijalizovanih/ADJ,transportnih/ADJ,vozila/NOUN
oštećenih/ADJ,železničkih/ADJ,pruga/NOUN
najgorim/ADJ,kišnim/ADJ,olujama/NOUN
Svetska/ADJ,zdravstvena/ADJ,organizacija/NOUN
neposrednoj/ADJ,zdravstvenoj/ADJ,proceni/NOUN
Državna/ADJ,železnička/ADJ,kompanija/NOUN
obilne/ADJ,kišne/ADJ,padavine/NOUN
Autonomnog/ADJ,ženskog/ADJ,centra/NOUN
bivšoj/ADJ,jugoslovenskoj/ADJ,federaciji/NOUN
Istaknuti/ADJ,portugalski/ADJ,trener/NOUN
najpopularnija/ADJ,grčka/ADJ,tima/NOUN
mogućoj/ADJ,gruboj/ADJ,igri/NOUN
glavna/ADJ,grčka/ADJ,igrača/NOUN
čitavog/ADJ,Svetskog/ADJ,prvenstva/NOUN
rumunske/ADJ,kriminalne/ADJ,grupe/NOUN
najvećih/ADJ,političkih/ADJ,stranaka/NOUN
makedonske/ADJ,parlamentarne/ADJ,stranke/NOUN
privremene/ADJ,registarske/ADJ,tablice/NOUN
širokom/ADJ,političkom/ADJ,podrškom/NOUN
najveće/ADJ,opozicione/ADJ,partije/NOUN
novu/ADJ,nezavisnu/ADJ,državu/NOUN
dovoljnu/ADJ,parlamentarnu/ADJ,podršku/NOUN
vladajuće/ADJ,turske/ADJ,stranke/NOUN
Turski/ADJ,glavni/ADJ,tužilac/NOUN
konzervativnu/ADJ,demokratsku/ADJ,stranku/NOUN
čvrstu/ADJ,ekonomsku/ADJ,politiku/NOUN
opozicione/ADJ,Demokratske/ADJ,stranke/NOUN
normalnoj/ADJ,evropskoj/ADJ,demokratiji/NOUN
beogradskom/ADJ,centralnom/ADJ,groblju/NOUN
organizovane/ADJ,kriminalne/ADJ,bande/NOUN
kratak/ADJ,dokumentarni/ADJ,film/NOUN
Đinđićevoj/ADJ,političkoj/ADJ,karijeri/NOUN
organizovanih/ADJ,kriminalnih/ADJ,grupa/NOUN
lokalne/ADJ,kablovske/ADJ,operatere/NOUN
Zvanični/ADJ,crnogorski/ADJ,emiter/NOUN
Evropskog/ADJ,fudbalskog/ADJ,prevenstva/NOUN
Helenski/ADJ,nacionalni/ADJ,katastar/NOUN
Evropskog/ADJ,fudbalskog/ADJ,prvenstva/NOUN
lokalne/ADJ,kablovske/ADJ,operatere/NOUN
lokalni/ADJ,kablovski/ADJ,operateri/NOUN
Helenski/ADJ,nacionalni/ADJ,katastar/NOUN
transparentna/ADJ,energetska/ADJ,politika/NOUN
odlazeći/ADJ,hrvatski/ADJ,predsednik/NOUN
Novoizabrani/ADJ,kosovski/ADJ,ambasador/NOUN
Nedavni/ADJ,nagli/ADJ,pad/NOUN
imovinskih/ADJ,krivičnih/ADJ,dela/NOUN
prvobitnog/ADJ,haotičnog/ADJ,raspada/NOUN
veće/ADJ,političke/ADJ,stabilnosti/NOUN
prošlogodišnjih/ADJ,direktnih/ADJ,razgovora/NOUN
međunarodni/ADJ,civilni/ADJ,predstavnik/NOUN
buduće/ADJ,međunarodno/ADJ,angažovanje/NOUN
zapaljivu/ADJ,nacionalističku/ADJ,retoriku/NOUN
Dejtonskim/ADJ,mirovnim/ADJ,sporazumom/NOUN
glavne/ADJ,etničke/ADJ,zajednice/NOUN
drugih/ADJ,ključnih/ADJ,operativaca/NOUN
slabim/ADJ,centralnim/ADJ,institucijama/NOUN
drugim/ADJ,visokim/ADJ,zvaničnicima/NOUN
Svetskog/ADJ,trgovinskog/ADJ,centra/NOUN
Najviši/ADJ,američki/ADJ,zvaničnik/NOUN
američki/ADJ,državni/ADJ,sekretar/NOUN
najnovijem/ADJ,zapadnom/ADJ,predlogu/NOUN
međunarodnog/ADJ,civilnog/ADJ,predstavnika/NOUN
američki/ADJ,državni/ADJ,sekretar/NOUN
bivši/ADJ,kosovski/ADJ,premijer/NOUN
kosovskog/ADJ,pregovaračkog/ADJ,tima/NOUN
bugarskom/ADJ,Nacionalnom/ADJ,takmičenju/NOUN
mlade/ADJ,naučne/ADJ,talente/NOUN
najviši/ADJ,međunarodni/ADJ,zvaničnici/NOUN
najviši/ADJ,međunarodni/ADJ,predstavnik/NOUN
evropskim/ADJ,bezbednosnim/ADJ,strukturama/NOUN
drugih/ADJ,istaknutih/ADJ,članova/NOUN
pojačana/ADJ,međunarodna/ADJ,saradnja/NOUN
belgijski/ADJ,naučni/ADJ,radnik/NOUN
Vladajuća/ADJ,muslimanska/ADJ,Stranka/NOUN
glomaznog/ADJ,administrativnog/ADJ,aparata/NOUN
velika/ADJ,javna/ADJ,potrošnja/NOUN
pozitivni/ADJ,multiplikativni/ADJ,efekti/NOUN
jedina/ADJ,odgovarajuća/ADJ,destinacija/NOUN
Crnogorski/ADJ,Centralni/ADJ,registar/NOUN
najplodnija/ADJ,poljoprivredna/ADJ,oblast/NOUN
američkim/ADJ,energetskim/ADJ,gigantom/NOUN
jedinstveni/ADJ,tehnološki/ADJ,pokušaj/NOUN
ozbiljne/ADJ,naučne/ADJ,diskusije/NOUN
potencijalnih/ADJ,ekoloških/ADJ,problema/NOUN
najozbiljnija/ADJ,unutrašnja/ADJ,pretnja/NOUN
druge/ADJ,strane/ADJ,diplomate/NOUN
sličnog/ADJ,raketnog/ADJ,napada/NOUN
konstitutivne/ADJ,etničke/ADJ,zajednice/NOUN
Novu/ADJ,počasnu/ADJ,jedinicu/NOUN
konstitutivne/ADJ,etničke/ADJ,grupe/NOUN
različite/ADJ,kamuflažne/ADJ,uniforme/NOUN
zajedničku/ADJ,počasnu/ADJ,jedinicu/NOUN
trenutni/ADJ,bezbednosni/ADJ,vakuum/NOUN
Titova/ADJ,luksuzna/ADJ,jahta/NOUN
nekadašnjeg/ADJ,jugoslovenskog/ADJ,diktatora/NOUN
bivšeg/ADJ,egipatskog/ADJ,predsednika/NOUN
bivšeg/ADJ,indijskog/ADJ,premijera/NOUN
mnoge/ADJ,druge/ADJ,teme/NOUN
naivni/ADJ,formalno-pravni/ADJ,izgovori/NOUN
čvrstih/ADJ,moralnih/ADJ,stavova/NOUN
najznačajnija/ADJ,srpska/ADJ,investicija/NOUN
Međunarodne/ADJ,bezbednosne/ADJ,snage/NOUN
dodatne/ADJ,mirovne/ADJ,snage/NOUN
Rumunske/ADJ,narodne/ADJ,banke/NOUN
kosovskim/ADJ,ličnim/ADJ,kartama/NOUN
ukupnih/ADJ,elektronskih/ADJ,transakcija/NOUN
bivši/ADJ,finski/ADJ,predsednik/NOUN
američkog/ADJ,državnog/ADJ,sekretara/NOUN
jedini/ADJ,preostali/ADJ,kandidat/NOUN
jedini/ADJ,preostali/ADJ,kandidat/NOUN
evropskog/ADJ,transportnog/ADJ,koridora/NOUN
stalnih/ADJ,naplatnih/ADJ,rampi/NOUN
drugih/ADJ,turističkih/ADJ,objekata/NOUN
Evropska/ADJ,investiciona/ADJ,banka/NOUN
tradicionalnim/ADJ,regionalnim/ADJ,idejama/NOUN
veliki/ADJ,poslovni/ADJ,borci/NOUN
najbolju/ADJ,poslovnu/ADJ,ženu/NOUN
opozicione/ADJ,Sandžačke/ADJ,lige/NOUN
bugarske/ADJ,nuklearne/ADJ,elektrane/NOUN
novi/ADJ,strateški/ADJ,investitor/NOUN
ruske/ADJ,nuklearne/ADJ,industrije/NOUN
bugarske/ADJ,desničarske/ADJ,Unije/NOUN
alternativne/ADJ,energetske/ADJ,izvore/NOUN
ruski/ADJ,trojanski/ADJ,konj/NOUN
novim/ADJ,nuklearnim/ADJ,objektom/NOUN
zastarelu/ADJ,rusku/ADJ,tehnologiju/NOUN
visokim/ADJ,seizmičkim/ADJ,aktivnostima/NOUN
Srpske/ADJ,pravoslavne/ADJ,crkve/NOUN
potencijalne/ADJ,zaštićene/ADJ,zone/NOUN
brojnih/ADJ,autonomnih/ADJ,opština/NOUN
pravi/ADJ,evropski/ADJ,film/NOUN
Poznati/ADJ,makedonski/ADJ,režiser/NOUN
urbana/ADJ,ljubavna/ADJ,priča/NOUN
Najpoznatiji/ADJ,makedonski/ADJ,režiser/NOUN
pravog/ADJ,evropskog/ADJ,filma/NOUN
urbana/ADJ,ljubavna/ADJ,priča/NOUN
poznati/ADJ,bivši/ADJ,košarkaš/NOUN
bivšoj/ADJ,državnoj/ADJ,zajednici/NOUN
nezavisne/ADJ,revizorske/ADJ,kompanije/NOUN
najprodavanije/ADJ,kisele/ADJ,vode/NOUN
višegodišnje/ADJ,kriminalne/ADJ,aktivnosti/NOUN
dvodnevnu/ADJ,zvaničnu/ADJ,posetu/NOUN
bruto/ADJ,društvenog/ADJ,proizvoda/NOUN
zajedničke/ADJ,radne/ADJ,grupe/NOUN
bivši/ADJ,bugarski/ADJ,kralj/NOUN
Međunarodnim/ADJ,krivičnim/ADJ,sudom/NOUN
bivših/ADJ,vojnih/ADJ,generala/NOUN
bivših/ADJ,policijskih/ADJ,generala/NOUN
Najviši/ADJ,državni/ADJ,zvaničnici/NOUN
Međunarodnim/ADJ,krivičnim/ADJ,sudom/NOUN
najtraženija/ADJ,osumnjičena/ADJ,lica/NOUN
zajedničke/ADJ,morske/ADJ,granice/NOUN
Hrvatske/ADJ,demokratske/ADJ,zajednice/NOUN
novembarskim/ADJ,parlamentarnim/ADJ,izborima/NOUN
dvodnevnom/ADJ,međunarodnom/ADJ,forumu/NOUN
nabolju/ADJ,radio/ADJ,emisiju/NOUN
Druga/ADJ,rumunska/ADJ,gimnastičarka/NOUN
drevnog/ADJ,tračanskog/ADJ,kompleksa/NOUN
Poznata/ADJ,makedonska/ADJ,glumica/NOUN
makedonskoj/ADJ,pozorišnoj/ADJ,sceni/NOUN
prestižnih/ADJ,festivalskih/ADJ,nagrada/NOUN
evropskom/ADJ,operskom/ADJ,takmičenju/NOUN
Mladi/ADJ,turski/ADJ,sopran/NOUN
najbolji/ADJ,dugometražni/ADJ,film/NOUN
Zagrebačkom/ADJ,filmskom/ADJ,festivalu/NOUN
biometrijskim/ADJ,ličnim/ADJ,kartama/NOUN
biometrijskom/ADJ,ličnom/ADJ,kartom/NOUN
novu/ADJ,regionalnu/ADJ,atmosferu/NOUN
Sjajna/ADJ,politička/ADJ,saradnja/NOUN
staru/ADJ,ličnu/ADJ,kartu/NOUN
Prethodno/ADJ,grčko/ADJ,predsedavanje/NOUN
novu/ADJ,Solunsku/ADJ,deklaraciju/NOUN
trenutnim/ADJ,finansijskim/ADJ,problemima/NOUN
Balkanske/ADJ,nevladine/ADJ,organizacije/NOUN
zajedničku/ADJ,regionalnu/ADJ,inicijativu/NOUN
regionalne/ADJ,letnje/ADJ,škole/NOUN
međunarodnog/ADJ,humanitarnog/ADJ,prava/NOUN
sarajevskog/ADJ,Istraživačko-dokumentacionog/ADJ,centra/NOUN
međunarodnog/ADJ,humanitarnog/ADJ,prava/NOUN
međunarodno/ADJ,krivično/ADJ,pravo/NOUN
Srpske/ADJ,demokratske/ADJ,stranke/NOUN
Srpsku/ADJ,demokratsku/ADJ,stranku/NOUN
potpuni/ADJ,politički/ADJ,sporazum/NOUN
predloženih/ADJ,ustavnih/ADJ,reformi/NOUN
Hrvatske/ADJ,demokratske/ADJ,zajednice/NOUN
šestogodišnje/ADJ,zatvorske/ADJ,kazne/NOUN
bivšeg/ADJ,jugoslovenskog/ADJ,predsednika/NOUN
Srpske/ADJ,radikalne/ADJ,stranke/NOUN
velikih/ADJ,bezbednosnih/ADJ,propusta/NOUN
istaknutu/ADJ,svetsku/ADJ,karijeru/NOUN
glumčeva/ADJ,poslednja/ADJ,želja/NOUN
istaknutu/ADJ,međunarodnu/ADJ,karijeru/NOUN
bivši/ADJ,srpski/ADJ,ministar/NOUN
brojne/ADJ,glumačke/ADJ,nagrade/NOUN
teške/ADJ,ekonomske/ADJ,uslove/NOUN
prosečnu/ADJ,starosnu/ADJ,dob/NOUN
globalne/ADJ,finansijske/ADJ,krize/NOUN
globalne/ADJ,ekonomske/ADJ,krize/NOUN
globalna/ADJ,ekonomska/ADJ,kriza/NOUN
susednim/ADJ,balkanskim/ADJ,zemljama/NOUN
Penzijski/ADJ,štedni/ADJ,fond/NOUN
Kosovskoj/ADJ,novinskoj/ADJ,agenciji/NOUN
nejake/ADJ,kosovske/ADJ,ekonomije/NOUN
direktne/ADJ,strane/ADJ,investicije/NOUN
glavna/ADJ,izvozna/ADJ,proizvoda/NOUN
nova/ADJ,istorijska/ADJ,prilika/NOUN
razne/ADJ,verske/ADJ,grupe/NOUN
manjinskih/ADJ,verskih/ADJ,grupa/NOUN
zajedničkoj/ADJ,evropskoj/ADJ,perspektivi/NOUN
istim/ADJ,demokratskim/ADJ,vrednostima/NOUN
rani/ADJ,republikanski/ADJ,period/NOUN
verskim/ADJ,manjinskim/ADJ,grupama/NOUN
nemuslimanskih/ADJ,verskih/ADJ,zajednica/NOUN
istaknuti/ADJ,rumunski/ADJ,pisac/NOUN
Letnji/ADJ,umetnički/ADJ,festival/NOUN
bugarskom/ADJ,crnomorskom/ADJ,odmaralištu/NOUN
Međunarodna/ADJ,umetnička/ADJ,radionica/NOUN
renomirani/ADJ,kulturni/ADJ,eksperti/NOUN
albanska/ADJ,dnevna/ADJ,novina/NOUN
Nacionalnog/ADJ,investicionog/ADJ,plana/NOUN
ukupan/ADJ,osnovni/ADJ,ulog/NOUN
Ovogodišnji/ADJ,muzički/ADJ,festival/NOUN
austrougarskoj/ADJ,Petrovaradinskoj/ADJ,tvrđavi/NOUN
raznovrsnu/ADJ,muzičku/ADJ,ponudu/NOUN
važnim/ADJ,društvenim/ADJ,pitanjima/NOUN
Srpska/ADJ,radikalna/ADJ,stranka/NOUN
Srpske/ADJ,radikalne/ADJ,stranke/NOUN
važnih/ADJ,ekonomskih/ADJ,sporazuma/NOUN
najvažniji/ADJ,međunarodni/ADJ,događaj/NOUN
vodećih/ADJ,svetskih/ADJ,banaka/NOUN
velike/ADJ,bankarske/ADJ,skupštine/NOUN
nova/ADJ,radna/ADJ,mesta/NOUN
Evropska/ADJ,investiciona/ADJ,banka/NOUN
neposredne/ADJ,ratne/ADJ,opasnosti/NOUN
direktnih/ADJ,stranih/ADJ,investicija/NOUN
visokih/ADJ,srpskih/ADJ,zvaničnika/NOUN
stabilne/ADJ,tržišne/ADJ,ekonomije/NOUN
represivnih/ADJ,političkih/ADJ,režima/NOUN
dobru/ADJ,investicionu/ADJ,klimu/NOUN
Evropska/ADJ,narodna/ADJ,partija/NOUN
kiparske/ADJ,opozicione/ADJ,stranke/NOUN
Evropska/ADJ,narodna/ADJ,partija/NOUN
najveću/ADJ,političku/ADJ,grupu/NOUN
Poslednji/ADJ,međunarodni/ADJ,napori/NOUN
turske/ADJ,vojne/ADJ,invazije/NOUN
preciznim/ADJ,vremenskim/ADJ,okvirom/NOUN
Visoki/ADJ,turski/ADJ,zvaničnici/NOUN
vladajuća/ADJ,Demokratska/ADJ,partija/NOUN
državnih/ADJ,bezbednosnih/ADJ,sudova/NOUN
mnogi/ADJ,državni/ADJ,zvaničnici/NOUN
poslednjoj/ADJ,socijalističkoj/ADJ,vladi/NOUN
albanskog/ADJ,Helsinškog/ADJ,odbora/NOUN
velike/ADJ,javne/ADJ,potrošnje/NOUN
neefikasni/ADJ,državni/ADJ,monopoli/NOUN
Neformalni/ADJ,privatni/ADJ,karteli/NOUN
prosečne/ADJ,srpske/ADJ,plate/NOUN
britanskog/ADJ,Investicionog/ADJ,fonda/NOUN
ukupne/ADJ,mlečne/ADJ,industrije/NOUN
šireg/ADJ,političkog/ADJ,spektra/NOUN
evroatlantski/ADJ,bezbednosni/ADJ,sistem/NOUN
penzionisani/ADJ,vojni/ADJ,general/NOUN
federalne/ADJ,jugoslovenske/ADJ,vlade/NOUN
globalna/ADJ,finansijska/ADJ,kriza/NOUN
važan/ADJ,finansijski/ADJ,izvor/NOUN
slabom/ADJ,obrazovnom/ADJ,sistemu/NOUN
dugotrajnog/ADJ,mirovnog/ADJ,procesa/NOUN
dugotrajnog/ADJ,mirovnog/ADJ,procesa/NOUN
evropskim/ADJ,fudbalskim/ADJ,ligama/NOUN
Evropske/ADJ,fudbalske/ADJ,federacije/NOUN
evropskih/ADJ,klupskih/ADJ,takmičenja/NOUN
sopstvenu/ADJ,detaljnu/ADJ,istragu/NOUN
javnim/ADJ,međunarodnim/ADJ,pravom/NOUN
teških/ADJ,krivičnih/ADJ,dela/NOUN
mnogim/ADJ,priobalnim/ADJ,područjima/NOUN
najizolovanijih/ADJ,zatvorenih/ADJ,mora/NOUN
najizolovanijih/ADJ,zatvorenih/ADJ,mora/NOUN
neodržive/ADJ,ljudske/ADJ,aktivnosti/NOUN
turski/ADJ,dnevni/ADJ,list/NOUN
otpadnim/ADJ,hranljivim/ADJ,materijama/NOUN
otpadnih/ADJ,hranljivih/ADJ,materija/NOUN
Prekogranične/ADJ,dijagnostičke/ADJ,analize/NOUN
jedina/ADJ,velika/ADJ,nesreća/NOUN
Evropskoj/ADJ,investicionoj/ADJ,banci/NOUN
Nacionalnog/ADJ,statističkog/ADJ,instituta/NOUN
Srpska/ADJ,elektroenergetska/ADJ,kompanija/NOUN
Najveći/ADJ,investicioni/ADJ,planovi/NOUN
glavnim/ADJ,opozicionim/ADJ,partijama/NOUN
novih/ADJ,političkih/ADJ,stranaka/NOUN
postojećih/ADJ,političkih/ADJ,partija/NOUN
najuspešnija/ADJ,politička/ADJ,partija/NOUN
sadašnja/ADJ,politička/ADJ,klasa/NOUN
normalna/ADJ,demokratska/ADJ,država/NOUN
jedina/ADJ,politička/ADJ,stranka/NOUN
paralelnim/ADJ,srpskim/ADJ,strukturama/NOUN
sadašnje/ADJ,političke/ADJ,lidere/NOUN
drugih/ADJ,javnih/ADJ,sfera/NOUN
