українському/ADJ,культурному/ADJ,просторі/NOUN
найкращі/ADJ,французькі/ADJ,сиґарети/NOUN
чудове/ADJ,калинове/ADJ,вино/NOUN
Маленькими/ADJ,незграбними/ADJ,літерами/NOUN
невиразні/ADJ,дитячі/ADJ,голоси/NOUN
головного/ADJ,міського/ADJ,готелю/NOUN
розщеплені/ADJ,кольорові/ADJ,сорочки/NOUN
літрових/ADJ,скляних/ADJ,фляшках/NOUN
поприв’язуваними/ADJ,надувними/ADJ,кульками/NOUN
химерними/ADJ,залізними/ADJ,пластинками/NOUN
швидкими/ADJ,атлетичними/ADJ,рухами/NOUN
найжахливіша/ADJ,сиґаретна/ADJ,криза/NOUN
громадських/ADJ,піших/ADJ,маршів/NOUN
грізний/ADJ,зовнішній/ADJ,вигляд/NOUN
місцевій/ADJ,Пузатій/ADJ,Хаті/NOUN
15-сантиметрового/ADJ,модринового/ADJ,бруса/NOUN
легким/ADJ,міцним/ADJ,євроруберойдом/NOUN
умовний/ADJ,другий/ADJ,поверх/NOUN
Маленька/ADJ,рудувата/ADJ,жіночка/NOUN
одна/ADJ,ліберальна/ADJ,демократія/NOUN
молодих/ADJ,талановитих/ADJ,громадян/NOUN
унікальні/ADJ,споживчі/ADJ,якості/NOUN
велетенської/ADJ,механічної/ADJ,машини/NOUN
Українчиних/ADJ,дружніх/ADJ,листів/NOUN
Маленька/ADJ,рудувата/ADJ,жіночка/NOUN
кращих/ADJ,приватних/ADJ,адвокатів/NOUN
позитивний/ADJ,торговельний/ADJ,баланс/NOUN
комуністичних/ADJ,збройних/ADJ,формувань/NOUN
китайських/ADJ,імператорських/ADJ,династій/NOUN
вузькою/ADJ,Тайванською/ADJ,протокою/NOUN
перші/ADJ,найсолодші/ADJ,соки/NOUN
маленькими/ADJ,гострими/ADJ,очима/NOUN
болючої/ADJ,емоційної/ADJ,суміші/NOUN
Буднього/ADJ,робочого/ADJ,дня/NOUN
незліченної/ADJ,тіньової/ADJ,армії/NOUN
колекційну/ADJ,карткову/ADJ,гру/NOUN
стрьомних/ADJ,великих/ADJ,павуків/NOUN
Маленька/ADJ,рудувата/ADJ,жіночка/NOUN
могутня/ADJ,грудна/ADJ,клітина/NOUN
останні/ADJ,переломові/ADJ,роки/NOUN
Андромахівського/ADJ,родинного/ADJ,вогнища/NOUN
цілого/ADJ,многобарвного/ADJ,світу/NOUN
новенькому/ADJ,дешевому/ADJ,костюмі/NOUN
куці/ADJ,студентські/ADJ,новини/NOUN
благенькій/ADJ,вишиваній/ADJ,сорочині/NOUN
брезентовою/ADJ,поштарською/ADJ,сумкою/NOUN
золотого/ADJ,Марфиного/ADJ,волосся/NOUN
Сині/ADJ,Марфині/ADJ,очі/NOUN
Огидний/ADJ,екстатичний/ADJ,транс/NOUN
Марфина/ADJ,душа/NOUN,нещасна/ADJ
густим/ADJ,чорним/ADJ,чорнилом/NOUN
гумовим/ADJ,поліцейським/ADJ,кийком/NOUN
Нове/ADJ,покоління/NOUN,людське/ADJ
велика/ADJ,блискуча/ADJ,зоря/NOUN
найвідоміших/ADJ,спортивних/ADJ,коментаторів/NOUN
большевицької/ADJ,брехливої/ADJ,пропаганди/NOUN
волелюбним/ADJ,слов'янським/ADJ,братам/NOUN
новий/ADJ,вільний/ADJ,світ/NOUN
сусідніх/ADJ,слов’янських/ADJ,мов/NOUN
Сучасна/ADJ,українська/ADJ,мова/NOUN
першу/ADJ,фонетичну/ADJ,зміну/NOUN
пізнішій/ADJ,українській/ADJ,території/NOUN
самостійна/ADJ,українська/ADJ,мова/NOUN
перші/ADJ,писемні/ADJ,пам’ятки/NOUN
певними/ADJ,діалектними/ADJ,особливостями/NOUN
аналізований/ADJ,попередній/ADJ,період/NOUN
важливе/ADJ,додаткове/ADJ,джерело/NOUN
світської/ADJ,літературної/ADJ,норми/NOUN
тогочасна/ADJ,білоруська/ADJ,мова/NOUN
Великому/ADJ,князівстві/NOUN,Литовському/ADJ
української/ADJ,історичної/ADJ,фонології/NOUN
сучасної/ADJ,української/ADJ,мови/NOUN
єдиним/ADJ,радикальним/ADJ,засобом/NOUN
штучними/ADJ,науковими/ADJ,окресленнями/NOUN
Несподіваний/ADJ,різкий/ADJ,поштовх/NOUN
доісторичні/ADJ,слов’янські/ADJ,племена/NOUN
Київському/ADJ,Початковому/ADJ,літописі/NOUN
доісторичні/ADJ,слов’янські/ADJ,племена/NOUN
давньоукраїнської/ADJ,рукописної/ADJ,спадщини/NOUN
української/ADJ,історичної/ADJ,діалектології/NOUN
української/ADJ,національної/ADJ,революції/NOUN
української/ADJ,історичної/ADJ,фонології/NOUN
сучасній/ADJ,українській/ADJ,мові/NOUN
власні/ADJ,хибні/ADJ,прочитання/NOUN
достотні/ADJ,мовні/ADJ,факти/NOUN
відповідного/ADJ,фонологічного/ADJ,контексту/NOUN
реалістичне/ADJ,історичне/ADJ,витлумачення/NOUN
давніх/ADJ,смішних/ADJ,рекомендаціях/NOUN
невиправною/ADJ,унадливою/ADJ,звичкою/NOUN
похмурої/ADJ,подружньої/ADJ,любові/NOUN
найдужчих/ADJ,еротичних/ADJ,подразників/NOUN
високою/ADJ,чуттєвою/ADJ,сприйнятливістю/NOUN
першим/ADJ,статевим/ADJ,актом/NOUN
чуттєві/ADJ,нервові/ADJ,волокна/NOUN
Велику/ADJ,статеву/ADJ,чутливість/NOUN
підвищене/ADJ,статеве/ADJ,збудження/NOUN
старого/ADJ,ідейного/ADJ,інтеліґента/NOUN
велетенська/ADJ,темна/ADJ,стіна/NOUN
тоненькі/ADJ,дитячі/ADJ,голоси/NOUN
звичайним/ADJ,законодатнім/ADJ,порядком/NOUN
попередніми/ADJ,Всенародніми/ADJ,Зборами/NOUN
Нові/ADJ,Всенародні/ADJ,Збори/NOUN
відпрацьованих/ADJ,вугільних/ADJ,родовищах/NOUN
відпрацьованих/ADJ,вугільних/ADJ,родовищ/NOUN
відпрацьованих/ADJ,вугільних/ADJ,родовищ/NOUN
діючих/ADJ,гірничих/ADJ,підприємств/NOUN
супутньої/ADJ,корисної/ADJ,копалини/NOUN
відповідного/ADJ,спеціального/ADJ,дозволу/NOUN
окремого/ADJ,спеціального/ADJ,дозволу/NOUN
безпритульні/ADJ,домашні/ADJ,тварини/NOUN
природної/ADJ,морської/ADJ,води/NOUN
вищих/ADJ,навчальних/ADJ,закладах/NOUN
Нежиттєздатна/ADJ,експериментальна/ADJ,тварина/NOUN
електронної/ADJ,митної/ADJ,декларації/NOUN
електронна/ADJ,митна/ADJ,декларація/NOUN
державну/ADJ,фінансову/ADJ,політику/NOUN
наступний/ADJ,операційний/ADJ,день/NOUN
поточний/ADJ,банківський/ADJ,рахунок/NOUN
Єдиного/ADJ,державного/ADJ,реєстру/NOUN
Вінницьке/ADJ,лісове/ADJ,господарство/NOUN
зазначеній/ADJ,фізичній/ADJ,особі/NOUN
українського/ADJ,культурного/ADJ,спротиву/NOUN
чорна/ADJ,справжня/ADJ,фарба/NOUN
різним/ADJ,матеріалом/NOUN,ілюстрованим/ADJ
нового/ADJ,українського/ADJ,письменства/NOUN
київською/ADJ,літературною/ADJ,громадою/NOUN
Міжнародній/ADJ,комерційній/ADJ,телерадіокомпанії/NOUN
важку/ADJ,екологічну/ADJ,ситуацію/NOUN
просторим/ADJ,спальним/ADJ,місцем/NOUN
Добре/ADJ,темне/ADJ,пиво/NOUN
гіркувате/ADJ,світле/ADJ,пиво/NOUN
розвинених/ADJ,капіталістичних/ADJ,країнах/NOUN
окресленої/ADJ,державної/ADJ,формації/NOUN
найдосвідченіших/ADJ,польових/ADJ,командирів/NOUN
російською/ADJ,регулярною/ADJ,армією/NOUN
перший/ADJ,відомий/ADJ,випадок/NOUN
неназваних/ADJ,єменських/ADJ,посадовців/NOUN
поважне/ADJ,щорічне/ADJ,свято/NOUN
100-ї/ADJ,Львівської/ADJ,дивізії/NOUN
Першого/ADJ,Українського/ADJ,фронту/NOUN
найбільших/ADJ,концентраційних/ADJ,таборів/NOUN
оновлених/ADJ,Збройних/ADJ,Сил/NOUN
славетної/ADJ,72-ої/ADJ,бригади/NOUN
спеціалізованій/ADJ,авіакосмічній/ADJ,виставці/NOUN
Міжнародна/ADJ,авіакосмічна/ADJ,виставка/NOUN
провідні/ADJ,світові/ADJ,компанії/NOUN
міжпартійного/ADJ,суєтного/ADJ,бруду/NOUN
Серйозні/ADJ,сумні/ADJ,очі/NOUN
звичних/ADJ,сценічних/ADJ,атрибутів/NOUN
ужгородському/ADJ,нічному/ADJ,клубі/NOUN
однойменної/ADJ,музичної/ADJ,драми/NOUN
інклюзивного/ADJ,освітнього/ADJ,середовища/NOUN
безпілотних/ADJ,літальних/ADJ,апаратів/NOUN
Південного/ADJ,машинобудівного/ADJ,заводу/NOUN
виставлені/ADJ,електронні/ADJ,рахунки/NOUN
Нові/ADJ,зареєстровані/ADJ,користувачі/NOUN
тодішніх/ADJ,політичних/ADJ,промов/NOUN
нормальну/ADJ,апаратну/ADJ,частину/NOUN
чудові/ADJ,ілюстровані/ADJ,видання/NOUN
далекого/ADJ,1924/ADJ,року/NOUN
головними/ADJ,дійовими/ADJ,особами/NOUN
головні/ADJ,економічні/ADJ,новини/NOUN
Міжнародним/ADJ,валютним/ADJ,фондом/NOUN
Української/ADJ,Народної/ADJ,Республіки/NOUN
Міжнародний/ADJ,валютний/ADJ,фонд/NOUN
державні/ADJ,дитячі/ADJ,садки/NOUN
маленька/ADJ,нова/ADJ,людина/NOUN
вказаної/ADJ,злочинної/ADJ,організації/NOUN
безпрецедентні/ADJ,штрафні/ADJ,санкції/NOUN
Сумського/ADJ,прикордонного/ADJ,загону/NOUN
Державної/ADJ,прикордонної/ADJ,служби/NOUN
Сєвєродонецької/ADJ,міської/ADJ,ради/NOUN
новоутвореної/ADJ,військової/ADJ,канцелярії/NOUN
відомий/ADJ,політичний/ADJ,оглядач/NOUN
сусідніх/ADJ,українських/ADJ,областях/NOUN
Однорічна/ADJ,трав'яниста/ADJ,рослина/NOUN
серединні/ADJ,трубчасті/ADJ,квітки/NOUN
Крайові/ADJ,лійковидні/ADJ,квітки/NOUN
майбутній/ADJ,мирний/ADJ,період/NOUN
Другу/ADJ,світову/ADJ,війну/NOUN
майбутній/ADJ,політичний/ADJ,устрій/NOUN
Священної/ADJ,Римської/ADJ,імперії/NOUN
останнім/ADJ,нехристиянізованим/ADJ,закутком/NOUN
Велике/ADJ,князівство/NOUN,Литовське/ADJ
Британські/ADJ,фінансові/ADJ,уряди/NOUN
старої/ADJ,пральної/ADJ,машини/NOUN
гумові/ADJ,ребристі/ADJ,пальці/NOUN
старої/ADJ,насосної/ADJ,станції/NOUN
останні/ADJ,язичницькі/ADJ,богослужіння/NOUN
слов'янського/ADJ,неязичницького/ADJ,руху/NOUN
американський/ADJ,оптичний/ADJ,телескоп/NOUN
Європейського/ADJ,космічного/ADJ,агентства/NOUN
Другої/ADJ,Світової/ADJ,війни/NOUN
першу/ADJ,орбітальну/ADJ,обсерваторію/NOUN
Шановні/ADJ,народні/ADJ,депутати/NOUN
єдиним/ADJ,можливим/ADJ,способом/NOUN
внутрішнього/ADJ,валового/ADJ,продукту/NOUN
нинішнього/ADJ,зовнішнього/ADJ,боргу/NOUN
33-річний/ADJ,непрацюючий/ADJ,мукачівець/NOUN
знищеної/ADJ,сухої/ADJ,трави/NOUN
довгих/ADJ,чорних/ADJ,панчіх/NOUN
Південноукраїнського/ADJ,енергетичного/ADJ,комплексу/NOUN
під'їзна/ADJ,залізнична/ADJ,колія/NOUN
Хмельницької/ADJ,атомної/ADJ,електростанції/NOUN
мембранних/ADJ,субклітинних/ADJ,органел/NOUN
взаємопов'язану/ADJ,виробничу/ADJ,систему/NOUN
нерудних/ADJ,корисних/ADJ,копалин/NOUN
повернені/ADJ,Овочеві/ADJ,мільярди/NOUN
Велика/ADJ,маленька/ADJ,брехня/NOUN
фінального/ADJ,п'ятого/ADJ,сезону/NOUN
первозданній/ADJ,природній/ADJ,формі/NOUN
Українського/ADJ,степового/ADJ,заповідника/NOUN
праві/ADJ,високі/ADJ,береги/NOUN
Луганському/ADJ,природному/ADJ,заповіднику/NOUN
власну/ADJ,локальну/ADJ,область/NOUN
найбільша/ADJ,сільська/ADJ,бібліотека/NOUN
українським/ADJ,середнім/ADJ,класом/NOUN
український/ADJ,середній/ADJ,клас/NOUN
українського/ADJ,середнього/ADJ,класу/NOUN
довгих/ADJ,паралельних/ADJ,вулиць/NOUN
нестерпним/ADJ,зовнішнім/ADJ,тиском/NOUN
найстаріший/ADJ,християнський/ADJ,храм/NOUN
національний/ADJ,відбірковий/ADJ,етап/NOUN
найпопулярніших/ADJ,культурних/ADJ,заходів/NOUN
велике/ADJ,промислове/ADJ,підприємство/NOUN
організований/ADJ,терористичний/ADJ,акт/NOUN
низькою/ADJ,болотистою/ADJ,рівниною/NOUN
Другої/ADJ,світової/ADJ,війни/NOUN
приватних/ADJ,медичних/ADJ,закладах/NOUN
дерев'яні/ADJ,різьблені/ADJ,речі/NOUN
народних/ADJ,музичних/ADJ,інструментів/NOUN
українських/ADJ,народних/ADJ,картин/NOUN
невеликі/ADJ,плетені/ADJ,кошики/NOUN
Державної/ADJ,податкової/ADJ,служби/NOUN
ціле/ADJ,нове/ADJ,покоління/NOUN
нинішній/ADJ,Український/ADJ,інститут/NOUN
структурованого/ADJ,експертного/ADJ,середовища/NOUN
Український/ADJ,художній/ADJ,переклад/NOUN
великої/ADJ,російської/ADJ,культури/NOUN
неолітичної/ADJ,паскової/ADJ,кераміки/NOUN
середньоєвропейської/ADJ,рессенської/ADJ,групи/NOUN
противним/ADJ,скрипучим/ADJ,голосом/NOUN
стрункого/ADJ,дзвонуватого/ADJ,підставця/NOUN
церковній/ADJ,метричній/ADJ,книзі/NOUN
даному/ADJ,населеному/ADJ,пункті/NOUN
Державних/ADJ,санітарних/ADJ,нормах/NOUN
поточний/ADJ,звітний/ADJ,період/NOUN
екстреної/ADJ,медичної/ADJ,допомоги/NOUN
екстреної/ADJ,медичної/ADJ,допомоги/NOUN
Сумські/ADJ,медичні/ADJ,ралі/NOUN
екстреної/ADJ,медичної/ADJ,допомоги/NOUN
розвиненої/ADJ,конічної/ADJ,форми/NOUN
екстреної/ADJ,медичної/ADJ,допомоги/NOUN
екстреної/ADJ,медичної/ADJ,допомоги/NOUN
якісну/ADJ,медичну/ADJ,допомогу/NOUN
Державної/ADJ,фіскальної/ADJ,служби/NOUN
прозорі/ADJ,поліетиленові/ADJ,пакети/NOUN
швидка/ADJ,медична/ADJ,допомога/NOUN
максимальний/ADJ,захисний/ADJ,ефект/NOUN
розкішне/ADJ,біле/ADJ,плаття/NOUN
знаних/ADJ,вінчанських/ADJ,мисок/NOUN
високій/ADJ,масивній/ADJ,ніжці/NOUN
різних/ADJ,класних/ADJ,закладів/NOUN
дрібними/ADJ,неправильними/ADJ,кульками/NOUN
чинного/ADJ,генерального/ADJ,плану/NOUN
новим/ADJ,незаконним/ADJ,будівництвам/NOUN
щільної/ADJ,спідньої/ADJ,білизни/NOUN
довгий/ADJ,полотняний/ADJ,халат/NOUN
грибувата/ADJ,профільована/ADJ,посудина/NOUN
двоскладний/ADJ,купальний/ADJ,костюм/NOUN
своєрідного/ADJ,кошлатого/ADJ,сукна/NOUN
холодній/ADJ,річковій/ADJ,воді/NOUN
верхній/ADJ,чоловічий/ADJ,одяг/NOUN
тонкої/ADJ,бавовняної/ADJ,матерії/NOUN
невеликий/ADJ,стоячий/ADJ,комір/NOUN
румунської/ADJ,мальованої/ADJ,кераміки/NOUN
мінімальної/ADJ,заробітної/ADJ,плати/NOUN
8-годинної/ADJ,повної/ADJ,завантаженості/NOUN
цілій/ADJ,пасковій/ADJ,кераміці/NOUN
щасливих/ADJ,первісних/ADJ,часів/NOUN
близькі/ADJ,порівнювані/ADJ,величини/NOUN
міцний/ADJ,чорний/ADJ,чай/NOUN
типовий/ADJ,непробивний/ADJ,герой/NOUN
Заслуженого/ADJ,академічного/ADJ,ансамблю/NOUN
численні/ADJ,політичні/ADJ,фільтри/NOUN
прекрасний/ADJ,новий/ADJ,роман/NOUN
татарського/ADJ,етнічного/ADJ,нашарування/NOUN
колишнього/ADJ,подільського/ADJ,улуса/NOUN
нової/ADJ,татарської/ADJ,хвилі/NOUN
февдальному/ADJ,прикордонному/ADJ,утворенні/NOUN
Одеської/ADJ,Краєвої/ADJ,Інспектури/NOUN
пізньої/ADJ,татарської/ADJ,доби/NOUN
вбитої/ADJ,дикої/ADJ,кози/NOUN
однаковими/ADJ,чорними/ADJ,стяжками/NOUN
найменшої/ADJ,фізичної/ADJ,напруги/NOUN
рухлива/ADJ,людська/ADJ,хвиля/NOUN
великого/ADJ,українського/ADJ,хору/NOUN
цілу/ADJ,англійську/ADJ,милю/NOUN
простого/ADJ,ірландського/ADJ,рибалки/NOUN
світлу/ADJ,мистецьку/ADJ,святиню/NOUN
справжніми/ADJ,бойовими/ADJ,вепрами/NOUN
різними/ADJ,доречними/ADJ,мовами/NOUN
релігійній/ADJ,львівській/ADJ,родині/NOUN
смачнюзними/ADJ,готовими/ADJ,стравами/NOUN
традиційними/ADJ,буковинськими/ADJ,смаколиками/NOUN
зрозуміле/ADJ,фізичне/ADJ,пояснення/NOUN
Єдиний/ADJ,адекватний/ADJ,член/NOUN
модерна/ADJ,національна/ADJ,ідентичність/NOUN
російській/ADJ,літературній/ADJ,мові/NOUN
паралельних/ADJ,синонімічних/ADJ,зворотах/NOUN
новий/ADJ,фразеологічний/ADJ,матеріял/NOUN
українська/ADJ,літературна/ADJ,мова/NOUN
авторів/ADJ,лінгвістичний/ADJ,смак/NOUN
різні/ADJ,культурні/ADJ,традиції/NOUN
власному/ADJ,трагічному/ADJ,досвіді/NOUN
українській/ADJ,народній/ADJ,мові/NOUN
даного/ADJ,язикового/ADJ,явища/NOUN
індивідуальну/ADJ,творчість/NOUN,стилістичну/ADJ
певний/ADJ,педагогічний/ADJ,спосіб/NOUN
повну/ADJ,українську/ADJ,фразеологію/NOUN
первісного/ADJ,емоціонального/ADJ,характеру/NOUN
науковій/ADJ,літературній/ADJ,мові/NOUN
нові/ADJ,фразеологічні/ADJ,звороти/NOUN
нових/ADJ,фразеологічних/ADJ,зворотів/NOUN
роскішних/ADJ,сусідських/ADJ,палат/NOUN
гарній/ADJ,блакитній/ADJ,чашечці/NOUN
порепаної/ADJ,бегонії/NOUN,плямистої/ADJ
розцяцькованого/ADJ,похоронного/ADJ,вінка/NOUN
Української/ADJ,Народної/ADJ,Республіки/NOUN
названих/ADJ,географічних/ADJ,місць/NOUN
японськими/ADJ,урядовими/ADJ,колами/NOUN
української/ADJ,лицемірної/ADJ,критики/NOUN
Українського/ADJ,політичного/ADJ,центру/NOUN
японських/ADJ,військових/ADJ,кіл/NOUN
Українській/ADJ,національній/ADJ,колонії/NOUN
відповідних/ADJ,комуністичних/ADJ,праць/NOUN
визначних/ADJ,сучасних/ADJ,більшовиків/NOUN
перший/ADJ,серйозний/ADJ,конфлікт/NOUN
Українську/ADJ,Далекосхідну/ADJ,Січ/NOUN
Другої/ADJ,світової/ADJ,війни/NOUN
вільне/ADJ,журналістське/ADJ,слово/NOUN
Українського/ADJ,католицького/ADJ,університету/NOUN
розлогу/ADJ,аналітичну/ADJ,статтю/NOUN
академічного/ADJ,радянського/ADJ,зібрання/NOUN
невпинній/ADJ,ідеологічній/ADJ,боротьбі/NOUN
давній/ADJ,солженіцинський/ADJ,заклик/NOUN
